Time,Output
0.000000,1.689431
0.004558,1.694716
0.005287,1.697063
0.005737,1.700018
0.006276,1.697515
0.006735,1.696364
0.007173,1.713455
0.007629,1.718172
0.008154,1.718599
0.008931,1.729260
0.014275,1.734060
0.026932,1.731441
0.039634,1.773635
0.047212,1.852076
0.056044,1.948166
0.079902,2.094436
0.086866,2.252440
0.108134,2.479067
0.116010,2.716780
0.126480,2.852876
0.135129,2.996848
0.155852,3.184123
0.161969,3.341836
0.166678,3.447507
0.184129,3.553939
0.198771,3.652185
0.214205,3.704637
0.236176,3.738253
0.253108,3.716307
0.266139,3.632603
0.283600,3.529932
0.298886,3.406941
0.304092,3.277971
0.334872,3.127723
0.336062,2.981802
0.353893,2.871263
0.368680,2.746779
0.384227,2.633917
0.402806,2.540654
0.418293,2.461532
0.440270,2.406106
0.444245,2.364927
0.462977,2.350818
0.474064,2.350678
0.490365,2.397646
0.507746,2.460998
0.541339,2.513660
0.558522,2.606869
0.567669,2.686596
0.577668,2.765791
0.593568,2.822175
0.603308,2.866137
0.619712,2.929852
0.626063,2.977354
0.635995,3.017218
0.662065,3.061660
0.684002,3.095378
0.699769,3.101622
0.735588,3.099958
0.757706,3.078677
0.773391,3.054780
0.802613,3.029326
0.810086,2.988001
0.842686,2.936772
0.858239,2.878624
0.863348,2.821627
0.883796,2.765759
0.909636,2.710997
0.918237,2.657319
0.925831,2.604704
0.945525,2.553131
0.964910,2.510210
0.978282,2.475673
0.994195,2.453482
1.026351,2.439946
1.040518,2.452580
1.048086,2.482672
1.081452,2.522055
1.105040,2.574149
1.123965,2.600798
1.143320,2.661173
1.160168,2.720466
1.192276,2.740145
1.198658,2.778329
1.215831,2.814480
1.242417,2.836239
1.261637,2.854851
1.283630,2.869315
1.310551,2.865650
1.316174,2.859803
1.337294,2.861329
1.350830,2.849936
1.366268,2.827445
1.374703,2.797606
1.387067,2.779243
1.398239,2.761229
1.415024,2.726891
1.429599,2.698507
1.440906,2.677117
1.460394,2.654547
1.477117,2.627062
1.496773,2.603357
1.508349,2.581950
1.515939,2.559474
