Time,Output
0.000000,1.868056
0.010064,1.868581
0.020197,1.869109
0.029943,1.869585
0.040186,1.870059
0.049999,1.851053
0.059997,1.852104
0.070357,1.853116
0.080549,1.854087
0.090670,1.855014
0.100340,1.855983
0.109903,1.856965
0.120085,1.877269
0.130189,1.955334
0.139916,2.070029
0.150153,2.200683
0.159862,2.327246
0.170014,2.449819
0.190181,2.568551
0.200106,2.703034
0.209882,2.833461
0.220160,2.940479
0.229899,3.044089
0.239887,3.164003
0.249952,3.260839
0.260066,3.335000
0.270126,3.426488
0.280170,3.495621
0.290202,3.542891
0.300039,3.588885
0.310046,3.633469
0.320252,3.657186
0.329808,3.680172
0.339768,3.702430
0.350013,3.704546
0.360074,3.687109
0.369787,3.670052
0.380164,3.653633
0.389873,3.618384
0.399882,3.584134
0.410202,3.531442
0.419935,3.480400
0.430105,3.430944
0.440050,3.383014
0.449821,3.336579
0.460133,3.272096
0.469889,3.209618
0.480051,3.149086
0.489875,3.070942
0.500143,2.995213
0.509848,2.921832
0.520006,2.850752
0.530101,2.801339
0.539937,2.733962
0.549728,2.668681
0.559914,2.624914
0.570283,2.563033
0.579719,2.503051
0.590070,2.464393
0.600246,2.446438
0.609949,2.429029
0.619913,2.412170
0.630067,2.395846
0.640055,2.380004
0.649990,2.403658
0.660200,2.426559
0.669947,2.429213
0.680136,2.451304
0.690085,2.492418
0.699882,2.531987
0.710143,2.550672
0.719758,2.568926
0.729829,2.606150
0.740227,2.661764
0.750138,2.715550
0.760471,2.748187
0.770224,2.779880
0.780167,2.810627
0.789943,2.840364
0.799865,2.869092
0.809921,2.897056
0.819739,2.924193
0.830197,2.950377
0.839922,2.975785
0.850154,2.980941
0.860050,2.985744
0.870080,2.990477
0.879929,2.995303
0.890279,2.999876
0.899975,3.004222
0.909970,3.008450
0.920143,2.993118
0.929847,2.978262
0.940086,2.963828
0.949925,2.949857
0.960179,2.936337
0.970030,2.923175
0.980159,2.910481
0.989934,2.898206
1.000166,2.866791
1.010031,2.836341
1.019790,2.826329
1.030060,2.816629
1.039901,2.787737
1.050072,2.759740
1.059783,2.752100
1.070045,2.744795
1.079977,2.718174
1.090107,2.692302
1.099893,2.686795
1.109915,2.681556
1.120172,2.676310
1.129879,2.671123
1.140198,2.666232
1.150178,2.661491
1.159944,2.656893
1.169999,2.652451
1.180169,2.648149
1.189961,2.643943
1.199925,2.639877
1.210008,2.655443
1.220277,2.670506
1.230001,2.665624
1.239872,2.680391
1.250180,2.694693
1.260000,2.708555
1.269847,2.721975
1.279951,2.735024
1.290167,2.747654
1.299934,2.759835
1.309922,2.771683
1.320125,2.783162
1.330179,2.794280
1.339814,2.805025
1.349960,2.815447
1.360179,2.825540
1.370184,2.835037
1.379839,2.825080
1.389874,2.835177
1.400114,2.844679
1.409775,2.853911
1.419949,2.862857
1.430132,2.851995
1.439742,2.841491
1.449899,2.850816
1.460201,2.859816
1.469981,2.849059
1.480173,2.838645
1.490271,2.828562
1.499871,2.818793
1.510119,2.809306
1.519852,2.800112
1.530176,2.810690
1.539733,2.820969
1.550035,2.811577
1.559872,2.802339
1.570200,2.793257
1.580078,2.784571
1.590085,2.776317
1.599979,2.768145
1.610265,2.760080
1.619931,2.752449
1.630085,2.745038
1.639966,2.737826
1.650154,2.730882
1.659965,2.724173
1.669890,2.717571
1.679806,2.730734
1.690120,2.743561
1.699852,2.736400
1.709958,2.729484
1.720202,2.722804
1.730146,2.735747
1.739892,2.748309
1.750100,2.741036
1.760162,2.734088
1.770243,2.746645
1.780077,2.758696
1.789780,2.751078
1.800011,2.743850
1.809753,2.756148
1.820091,2.767907
1.829975,2.759951
1.839771,2.771854
1.850024,2.783415
1.860199,2.775006
1.869823,2.786415
1.879783,2.797476
1.889997,2.788646
1.900135,2.799572
1.909759,2.810173
1.919947,2.800977
1.930083,2.792050
1.939869,2.802867
1.949804,2.813382
1.959964,2.804056
1.970170,2.795011
1.980024,2.805781
1.990219,2.816230
1.999902,2.806842
2.010030,2.797728
2.019881,2.788898
2.030068,2.799799
2.040364,2.810412
2.050150,2.801225
2.060099,2.792307
2.070294,2.783660
2.080384,2.775264
2.090793,2.786919
2.100042,2.798053
2.110073,2.789061
2.120039,2.780504
2.129922,2.772212
2.140249,2.764136
2.150081,2.775814
2.159782,2.787185
2.169985,2.778695
2.180173,2.770456
2.190171,2.762049
2.200353,2.754351
2.210070,2.766825
2.219866,2.778464
2.230200,2.770215
2.240160,2.762237
2.250121,2.754533
2.260388,2.766539
2.270210,2.778170
2.279978,2.770055
2.290043,2.762094
2.299972,2.754288
2.310217,2.766308
2.319966,2.777934
2.330234,2.769729
2.339971,2.761802
2.349942,2.773577
2.360053,2.784965
2.370210,2.776531
2.379997,2.768364
2.389780,2.779949
2.399968,2.791194
2.410195,2.782561
2.419955,2.793660
2.429838,2.804447
2.440042,2.795427
2.450076,2.786677
2.460256,2.797673
2.470140,2.808364
2.479858,2.799237
2.490224,2.790249
2.500083,2.781636
2.510197,2.792935
2.520030,2.803776
2.530048,2.794882
2.540262,2.786093
2.550252,2.797023
2.560034,2.807797
2.570266,2.798680
2.580042,2.789820
2.589960,2.781249
2.600209,2.792386
2.610117,2.803153
2.619950,2.794189
2.630203,2.785484
2.640148,2.777025
2.650410,2.768862
2.660185,2.780431
2.670007,2.791615
2.680208,2.782987
2.689794,2.774627
2.699933,2.766521
2.710117,2.778175
2.719965,2.789458
2.730175,2.780896
2.740025,2.772748
2.750012,2.764698
2.760004,2.776226
2.769844,2.787551
2.780077,2.779066
2.790061,2.770817
2.799767,2.782311
2.809948,2.793476
2.820211,2.784785
2.830065,2.776325
2.839904,2.787665
2.849949,2.798673
2.860185,2.789817
2.869871,2.781243
2.879793,2.772932
2.890033,2.784385
2.900112,2.795496
2.909855,2.786745
2.919945,2.778246
2.930029,2.789489
2.939954,2.800418
2.950073,2.791520
2.960255,2.782898
2.969859,2.794011
2.980096,2.804737
2.989913,2.795687
3.000183,2.786934
3.010215,2.797524
3.020185,2.808100
3.030023,2.799234
3.040210,2.790360
3.049986,2.801192
3.060207,2.811698
3.069879,2.802489
3.080152,2.793537
3.090123,2.784848
3.099884,2.795905
3.109887,2.806673
3.120011,2.797511
3.129927,2.788653
3.140081,2.780215
3.149964,2.791369
3.160124,2.802162
3.169934,2.793227
3.180248,2.784534
3.190042,2.795582
3.199792,2.806319
3.209907,2.797250
3.220076,2.788445
3.229755,2.779906
3.239946,2.791149
3.250156,2.802022
3.259961,2.793054
3.270216,2.784413
3.279990,2.795482
3.300288,2.806134
3.310045,2.796988
3.319849,2.788201
3.330041,2.799143
3.340243,2.809745
3.350043,2.800649
3.360178,2.791735
3.369909,2.802501
3.380183,2.813004
3.390088,2.803710
3.399941,2.794701
3.410210,2.785974
3.419893,2.796991
3.430221,2.807649
3.439969,2.798534
3.449827,2.789732
3.459960,2.800648
3.470261,2.811173
3.480121,2.801931
3.489717,2.793001
3.499833,2.803801
3.510177,2.814269
3.519777,2.804944
3.530038,2.795896
3.540235,2.787140
3.550018,2.798139
3.559912,2.808658
3.570258,2.799498
3.579947,2.790731
3.589936,2.782115
3.599769,2.793220
3.610142,2.804018
3.620083,2.795016
3.630348,2.786286
3.640070,2.797357
3.649755,2.808085
3.660063,2.798971
3.669915,2.790097
3.680131,2.781474
3.690278,2.792583
3.700387,2.803369
3.710259,2.794389
3.720087,2.785685
3.730136,2.796632
3.739922,2.807308
3.750034,2.798263
3.759835,2.789409
3.769871,2.800353
3.780064,2.810979
3.789896,2.801723
3.800036,2.792787
3.810265,2.784135
3.820232,2.795189
3.830255,2.805917
3.839993,2.796851
3.850077,2.788071
3.859902,2.799002
3.870237,2.809603
3.879753,2.800429
3.889763,2.791520
3.900205,2.802391
3.910065,2.812896
3.919947,2.803595
3.930214,2.794586
3.939891,2.805368
3.950125,2.815854
3.959906,2.806480
3.970147,2.797373
3.979776,2.808024
3.989768,2.818353
3.999978,2.808894
4.010531,2.799696
4.020574,2.809731
4.029757,2.819933
4.039805,2.810609
4.049793,2.801407
4.060000,2.792716
4.070350,2.803483
4.080508,2.813956
4.090553,2.804550
4.100013,2.795517
4.110367,2.786835
4.119994,2.797842
4.130289,2.808552
4.140087,2.799399
4.149829,2.790512
4.160188,2.801404
4.169936,2.811961
4.180157,2.802816
4.190193,2.793863
4.200032,2.785002
4.209882,2.796053
4.219908,2.806881
4.230352,2.797800
4.239922,2.788969
4.249973,2.799905
4.259905,2.810478
4.269960,2.801226
4.280034,2.792277
4.289935,2.803119
4.300062,2.813573
4.310034,2.804233
4.320233,2.795274
4.329834,2.806028
4.340040,2.816421
4.349846,2.807004
4.359822,2.797898
4.370067,2.808806
4.379989,2.819186
4.390124,2.809555
4.399873,2.800362
4.410082,2.811024
4.420132,2.821305
4.430143,2.811694
4.439859,2.802459
4.450084,2.812961
4.460125,2.823096
4.469874,2.813509
4.480176,2.804243
4.489934,2.795211
4.499973,2.805966
4.510122,2.816374
4.519839,2.806965
4.529786,2.797857
4.540022,2.808540
4.549889,2.818883
4.560042,2.809409
4.569988,2.800226
4.579803,2.791324
4.590031,2.802194
4.600236,2.812711
4.610110,2.803411
4.619979,2.794427
4.629943,2.805206
4.640218,2.815619
4.649993,2.806143
4.660036,2.796970
4.669958,2.807792
4.680230,2.818304
4.689905,2.808857
4.699957,2.799685
4.709871,2.810297
4.720006,2.820566
4.729935,2.811027
4.740122,2.801805
4.749881,2.812338
4.760108,2.822524
4.770122,2.812920
4.779870,2.803634
4.790157,2.814125
4.799904,2.824295
4.810056,2.814795
4.820172,2.805439
4.829961,2.796242
4.840116,2.806870
4.849916,2.817233
4.860036,2.807874
4.870131,2.798718
4.879951,2.809335
4.890146,2.819651
4.899759,2.810156
4.910096,2.800950
4.919930,2.811475
4.930030,2.821704
4.939731,2.812169
4.950029,2.803074
4.959906,2.813425
4.970146,2.823329
4.980056,2.813756
4.989903,2.804438
5.000098,2.814877
5.010042,2.824998
5.020174,2.815344
5.030023,2.806134
5.039991,2.797072
5.050188,2.807610
5.059754,2.817954
5.069990,2.808506
5.080215,2.799352
5.090295,2.809896
5.099663,2.820148
5.109624,2.810715
5.120018,2.801502
5.130163,2.812000
5.139786,2.822223
5.149991,2.812642
5.159856,2.803354
5.170146,2.813816
5.179849,2.823910
5.189827,2.814342
5.199919,2.805103
5.210367,2.815400
5.219834,2.825455
5.229990,2.815854
5.239832,2.806436
5.249990,2.817003
5.259724,2.827174
5.270038,2.817317
5.280002,2.807863
5.289924,2.818214
5.299754,2.828245
5.310170,2.818486
5.319845,2.809044
5.330014,2.819302
5.339788,2.829260
5.350030,2.819497
5.360183,2.810000
5.370270,2.820284
5.379891,2.830242
5.390190,2.820412
5.399952,2.810890
5.410132,2.801649
5.419719,2.812230
5.429972,2.822469
5.440339,2.812865
5.450124,2.803545
5.459846,2.814042
5.470044,2.824218
5.479706,2.814562
5.489898,2.805236
5.500050,2.796197
5.509994,2.806904
5.520297,2.817266
5.530022,2.807819
5.540166,2.798699
5.549965,2.809341
5.560094,2.819657
5.569974,2.810160
5.580223,2.800922
5.589873,2.811500
5.600087,2.821776
5.610037,2.812200
5.619838,2.802942
5.630042,2.813403
5.639800,2.823541
5.649964,2.813932
5.660131,2.804593
5.669836,2.815062
5.679960,2.825215
5.690170,2.815603
5.699921,2.806223
5.710021,2.816576
5.720149,2.826650
5.729919,2.816921
5.740163,2.807502
5.749879,2.817842
5.760074,2.827867
5.770279,2.818134
5.780085,2.828157
5.790022,2.838008
5.799810,2.827953
5.810207,2.818053
5.819832,2.808616
5.830125,2.818942
5.839983,2.828941
5.850153,2.819165
5.860042,2.809666
5.869817,2.819952
5.879794,2.829926
5.889969,2.820233
5.899697,2.810722
5.909938,2.820847
5.920155,2.830808
5.930006,2.820956
5.940054,2.811389
5.949934,2.802175
5.960065,2.812708
5.969868,2.822866
5.980047,2.813254
5.989948,2.803972
6.000059,2.814445
6.009968,2.824604
6.020207,2.814948
6.029908,2.805588
6.040080,2.816001
6.050299,2.826154
6.060102,2.816448
6.069862,2.806959
6.080229,2.817373
6.090324,2.827447
6.099923,2.817711
6.110026,2.827828
6.120327,2.837544
6.130017,2.827432
6.139808,2.817714
6.149948,2.827759
6.159778,2.837480
6.170012,2.827439
6.179785,2.817699
6.189997,2.827736
6.200267,2.837465
6.209940,2.827393
6.220154,2.817663
6.229962,2.827715
6.240073,2.837416
6.250171,2.827364
6.259930,2.817648
6.270196,2.827668
6.279817,2.837384
6.290246,2.827362
6.300094,2.817729
6.310278,2.827707
6.319921,2.837261
6.330239,2.827214
6.340000,2.817513
6.350168,2.827535
6.359864,2.837243
6.370153,2.827212
6.379870,2.817482
6.390165,2.827531
6.399859,2.837289
6.410165,2.827248
6.420077,2.817495
6.429780,2.808061
6.440238,2.818413
6.449927,2.828433
6.459967,2.818653
6.470180,2.809208
6.479906,2.819503
6.490172,2.829461
6.499801,2.819652
6.510054,2.810147
6.519833,2.820455
6.530000,2.830407
6.539830,2.820548
6.550164,2.830549
6.560279,2.840221
6.570105,2.830075
6.579930,2.820276
6.589982,2.830207
6.600176,2.839983
6.610311,2.829846
6.619803,2.819866
6.629992,2.829846
6.640140,2.839531
6.649771,2.829552
6.659959,2.819752
6.670125,2.829604
6.679986,2.839259
6.690029,2.829145
6.700235,2.819332
6.709792,2.829334
6.720352,2.839029
6.729998,2.828941
6.739789,2.838682
6.749869,2.848106
6.760165,2.837736
6.769856,2.827662
6.780021,2.837319
6.790084,2.846849
6.800665,2.836518
6.810266,2.826356
6.819916,2.836171
6.830396,2.845663
6.840111,2.835320
6.849943,2.825359
6.860203,2.834695
6.870215,2.843931
6.879913,2.834015
6.890177,2.824186
6.899974,2.814546
6.910074,2.824659
6.919817,2.834483
6.930226,2.824525
6.939814,2.814878
6.950118,2.824977
6.960014,2.834725
6.969987,2.824775
6.980272,2.815137
6.990230,2.825269
7.000035,2.835077
7.009767,2.825109
7.020038,2.815459
7.029771,2.825545
7.040070,2.835442
7.049967,2.825465
7.060084,2.815676
7.069853,2.825770
7.080088,2.835568
7.090442,2.825569
7.099982,2.835447
7.110157,2.844998
7.120134,2.834657
7.129865,2.824673
7.139762,2.834512
7.149959,2.844042
7.160178,2.833789
7.169825,2.823863
7.180026,2.833723
7.190297,2.843244
7.199810,2.833013
7.209732,2.823128
7.219965,2.832992
7.230214,2.842366
7.239957,2.832172
7.250160,2.822488
7.259759,2.832363
7.269980,2.841933
7.280250,2.831719
7.289999,2.841342
