System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_2,0.065,2.23,85.515,0.971,81.981,0.026
filtered_velocity_3,1.113,1.8,89.639,0.939,103.531,0.072
filtered_velocity_4,0.065,1.82,92.045,0.948,106.16,0.074
filtered_velocity_5,0.064,1.76,93.307,0.932,106.144,0.073
filtered_velocity_6,0.063,1.8,93.135,0.948,108.497,0.073
filtered_velocity_7,0.062,2.25,94.526,0.936,106.485,0.076
filtered_velocity_8,0.062,1.79,91.65,0.941,110.755,0.072
filtered_velocity_9,0.066,1.77,90.266,0.938,122.57,0.579
filtered_velocity_10,0.06,2.27,94.393,0.948,107.892,0.072
filtered_velocity_11,0.061,1.78,96.829,0.941,104.155,0.075
filtered_velocity_12,0.617,2.28,93.377,0.933,105.843,0.071
filtered_velocity_13,0.618,1.81,97.194,0.931,102.142,0.076
filtered_velocity_14,0.065,1.76,89.996,0.941,107.883,0.07
filtered_velocity_15,0.608,1.81,93.797,0.949,107.788,0.187
filtered_velocity_16,0.063,1.81,91.95,0.937,109.648,0.074
filtered_velocity_17,0.058,1.79,95.413,0.934,107.609,0.074
filtered_velocity_18,0.062,1.77,92.148,0.929,106.742,0.071
filtered_velocity_19,0.063,1.75,90.779,0.925,108.207,0.073
filtered_velocity_20,0.063,1.8,91.467,0.941,106.161,0.073
