Time,Output
0.000000,1.394578
0.009921,1.390126
0.019781,1.386035
0.030024,1.382182
0.039915,1.397778
0.049647,1.412883
0.060075,1.408035
0.069652,1.403338
0.079779,1.398724
0.090173,1.394275
0.099868,1.390047
0.109641,1.385991
0.119596,1.401494
0.130348,1.435901
0.139975,1.488786
0.149769,1.579015
0.159865,1.685925
0.169811,1.808971
0.180061,1.947518
0.189409,2.081949
0.199632,2.192897
0.209830,2.300232
0.220013,2.423687
0.230014,2.523853
0.239661,2.621146
0.249999,2.715240
0.260314,2.786681
0.270028,2.856073
0.279687,2.923335
0.289571,2.988491
0.299717,3.032202
0.310084,3.074565
0.320268,3.115591
0.330080,3.135898
0.340287,3.155548
0.350040,3.155086
0.360224,3.135172
0.369632,3.115924
0.380484,3.097301
0.389617,3.079174
0.400225,3.061620
0.409938,3.025176
0.419717,2.989822
0.430153,2.955597
0.439957,2.902923
0.449764,2.851889
0.459574,2.802357
0.469949,2.734868
0.480046,2.669553
0.490075,2.606263
0.500353,2.544959
0.509603,2.485555
0.520076,2.408503
0.529710,2.353372
0.539868,2.299949
0.550122,2.248123
0.559928,2.197904
0.570045,2.149248
0.579857,2.102101
0.589641,2.056424
0.599944,2.031641
0.609774,2.007615
0.619989,1.984338
0.629764,1.961784
0.639555,1.959393
0.649796,1.957074
0.659684,1.954828
0.670309,1.972134
0.680099,1.988880
0.690184,2.005142
0.699783,2.020938
0.709789,2.055676
0.719590,2.089290
0.730064,2.121901
0.739913,2.153546
0.750006,2.183758
0.759911,2.232940
0.770052,2.261248
0.780079,2.288564
0.790638,2.315143
0.800366,2.340901
0.809823,2.385095
0.820049,2.408484
0.829890,2.431540
0.839544,2.453434
0.849943,2.455302
0.860049,2.476621
0.870024,2.497232
0.879945,2.497577
0.889762,2.498055
0.899630,2.498698
0.910154,2.499126
0.919759,2.499542
0.929800,2.499993
0.940128,2.500406
0.949607,2.500818
0.960138,2.481760
0.970021,2.463242
0.979514,2.445319
0.989922,2.427970
0.999732,2.411163
1.009787,2.394845
1.020057,2.379019
1.029884,2.363689
1.040036,2.348839
1.049723,2.314974
1.060531,2.301603
1.069789,2.288694
1.079747,2.276168
1.089886,2.263982
1.100159,2.252149
1.109643,2.240768
1.120030,2.229771
1.130197,2.219033
1.139856,2.208665
1.149867,2.198635
1.159750,2.188915
1.169818,2.198962
1.179611,2.189226
1.189653,2.179823
1.199905,2.190172
1.209697,2.200191
1.220224,2.209860
1.229741,2.199754
1.239901,2.189973
1.249782,2.199966
1.260123,2.209634
1.269778,2.219040
1.280027,2.228229
1.289873,2.237172
1.299784,2.245690
1.310014,2.272912
1.320053,2.299764
1.329946,2.306742
1.339938,2.313175
1.349952,2.319356
1.359796,2.325255
1.369809,2.331079
1.379768,2.336852
1.390099,2.342326
1.399825,2.347545
1.419928,2.352702
1.429865,2.357648
1.439687,2.362442
1.449604,2.367181
1.459826,2.352223
1.470219,2.337749
1.480394,2.343181
1.489796,2.347955
1.499753,2.353091
1.509809,2.339053
1.520282,2.324970
1.529765,2.330893
1.539751,2.336544
1.549798,2.322455
1.559947,2.308885
1.569709,2.315263
1.580117,2.321455
1.590082,2.307894
1.600980,2.294780
1.610441,2.301637
1.619699,2.288764
1.629851,2.276267
1.640633,2.283584
1.650167,2.290640
1.660328,2.278061
1.670035,2.265851
1.679933,2.273283
1.689632,2.280872
1.700116,2.268795
1.709606,2.256973
1.719618,2.265106
1.729642,2.272757
1.739861,2.260617
1.749547,2.249097
1.759932,2.257614
1.770209,2.265589
1.780214,2.273112
1.789882,2.280530
1.799724,2.287550
1.809658,2.274932
1.819670,2.262994
1.829701,2.270771
1.839609,2.278263
1.849807,2.285527
1.860430,2.292608
1.870050,2.299437
1.879570,2.306021
