Time,Output
0.000000,1.864479
0.010258,1.864921
0.019656,1.846059
0.029941,1.847309
0.040110,1.848375
0.049940,1.849553
0.060229,1.850652
0.070136,1.851674
0.080005,1.852675
0.091207,1.853661
0.100092,1.854637
0.109725,1.855607
0.119968,1.856518
0.130399,1.876822
0.140130,1.935498
0.150205,1.992394
0.159965,2.066961
0.169955,2.158891
0.179897,2.247775
0.189821,2.333748
0.200039,2.417226
0.209998,2.517565
0.219756,2.614818
0.229896,2.689582
0.240093,2.781534
0.249873,2.870565
0.259984,2.937565
0.270141,3.002405
0.279763,3.064956
0.290010,3.125858
0.300166,3.165360
0.309962,3.203466
0.320089,3.240478
0.329851,3.276383
0.340066,3.311166
0.349956,3.325405
0.360046,3.339160
0.369798,3.352344
0.380108,3.345773
0.389772,3.339559
0.400043,3.333453
0.409861,3.308015
0.420213,3.283375
0.430048,3.259498
0.440187,3.236366
0.449907,3.213952
0.460126,3.172740
0.469830,3.132813
0.480051,3.094118
0.490018,3.056649
0.500057,3.020382
0.509715,2.965710
0.520126,2.932165
0.530053,2.899700
0.540208,2.848769
0.549883,2.799411
0.560136,2.751581
0.569833,2.705234
0.579945,2.679806
0.590131,2.655167
0.599937,2.611800
0.610157,2.589278
0.619900,2.567457
0.629988,2.546312
0.640090,2.525803
0.649733,2.505955
0.659887,2.506239
0.670431,2.506444
0.680110,2.506640
0.689731,2.506860
0.699946,2.507058
0.710240,2.507253
0.719991,2.526905
0.730150,2.545946
0.739793,2.564433
0.749794,2.582316
0.759952,2.599890
0.769911,2.616794
0.779982,2.632865
0.790305,2.668064
0.800213,2.682746
0.810225,2.696988
0.819944,2.730282
0.829710,2.743067
0.839948,2.755408
0.849805,2.786838
0.860010,2.797852
0.870100,2.808502
0.879761,2.818819
0.890040,2.828801
0.900149,2.838502
0.910186,2.847891
0.919885,2.856643
0.930224,2.865669
0.939960,2.874706
0.950159,2.882973
0.959869,2.891014
0.969884,2.879322
0.980056,2.867968
0.990180,2.876425
0.999954,2.884650
1.009870,2.873145
1.020231,2.861983
1.029791,2.851202
1.040037,2.840734
1.050204,2.830552
1.059901,2.820734
1.070117,2.811210
1.079794,2.801964
1.089939,2.792996
1.099933,2.784332
1.109783,2.775976
1.120079,2.767781
1.129904,2.759854
1.140061,2.752248
1.149794,2.744821
1.160003,2.737672
1.170115,2.730739
1.179732,2.723982
1.189841,2.717473
1.199829,2.711204
1.210027,2.705070
1.220138,2.699020
1.229979,2.693347
1.240099,2.687800
1.249651,2.682285
1.259980,2.677030
1.270180,2.691415
1.280012,2.705376
1.290173,2.699425
1.299846,2.693642
1.310026,2.688050
1.320128,2.702126
1.329921,2.715762
1.340111,2.709479
1.349765,2.703348
1.360032,2.717019
1.370031,2.730286
1.380245,2.723525
1.389853,2.736471
1.400046,2.748972
1.409802,2.741681
1.419724,2.754106
1.429927,2.766074
1.440157,2.758263
1.449780,2.770166
1.460002,2.781656
1.469972,2.773324
1.480160,2.784736
1.490052,2.795797
1.500101,2.787054
1.510164,2.778587
1.519907,2.789751
1.529752,2.800602
1.539927,2.791942
