System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_1,0.1,2.64,44.01,1.029,35.814,0.021,"((-0.752094+35.80610214216515j), (-0.752094-35.80610214216515j))"
filtered_velocity_2,0.673,1.92,54.959,0.945,97.25,0.644,"((-62.629000000000005+74.39872888027053j), (-62.629000000000005-74.39872888027053j))"
filtered_velocity_3,0.089,1.95,58.219,0.935,98.936,0.001,"((-0.09893600000000001+98.93595053198764j), (-0.09893600000000001-98.93595053198764j))"
filtered_velocity_4,0.661,1.8,61.202,0.92,109.123,0.129,"((-14.076867000000002+108.21123298652645j), (-14.076867000000002-108.21123298652645j))"
filtered_velocity_5,0.086,1.79,59.686,0.934,107.282,0.124,"((-13.302968+106.45402090288077j), (-13.302968-106.45402090288077j))"
filtered_velocity_6,0.085,1.82,62.119,0.905,110.94,0.133,"((-14.75502+109.95441321201982j), (-14.75502-109.95441321201982j))"
filtered_velocity_7,0.663,1.92,61.71,0.92,105.485,0.059,"((-6.223615+105.30124330382702j), (-6.223615-105.30124330382702j))"
filtered_velocity_8,0.088,1.41,59.104,0.936,108.759,0.126,"((-13.703634000000001+107.89221703252763j), (-13.703634000000001-107.89221703252763j))"
filtered_velocity_9,0.089,1.94,59.301,0.93,108.155,0.121,"((-13.086755+107.36033191346782j), (-13.086755-107.36033191346782j))"
filtered_velocity_10,0.084,1.39,61.653,0.937,109.123,0.13,"((-14.18599+108.19698155087276j), (-14.18599-108.19698155087276j))"
filtered_velocity_11,0.083,1.889,62.299,0.921,108.228,0.129,"((-13.961412+107.32371107526171j), (-13.961412-107.32371107526171j))"
filtered_velocity_12,0.087,1.4,61.827,0.923,105.197,0.059,"((-6.206623+105.01374500481292j), (-6.206623-105.01374500481292j))"
filtered_velocity_13,0.084,1.41,63.329,0.912,111.99,0.127,"((-14.22273+111.08318527728264j), (-14.22273-111.08318527728264j))"
filtered_velocity_14,0.085,1.9,62.124,0.936,104.904,0.06,"((-6.294239999999999+104.71500254892992j), (-6.294239999999999-104.71500254892992j))"
filtered_velocity_15,0.088,1.4,61.408,0.925,109.334,0.122,"((-13.338748+108.51728598611604j), (-13.338748-108.51728598611604j))"
filtered_velocity_16,0.09,1.94,61.538,0.929,133.118,0.652,"((-86.792936+100.9325922806895j), (-86.792936-100.9325922806895j))"
filtered_velocity_17,0.089,1.94,60.437,0.932,110.889,0.13,"((-14.41557+109.94799526401151j), (-14.41557-109.94799526401151j))"
filtered_velocity_18,0.089,1.91,61.26,0.925,108.414,0.122,"((-13.226507999999999+107.60415829384074j), (-13.226507999999999-107.60415829384074j))"
filtered_velocity_19,0.089,1.88,60.037,0.93,111.084,0.0,"((-0+111.084j), (-0-111.084j))"
filtered_velocity_20,0.088,1.829,60.934,0.92,110.769,0.0,"((-0+110.769j), (-0-110.769j))"
filtered_velocity_1,0.074,2.84,69.77,1.047,35.106,0.028,"((-0.9829680000000001+35.09223574967796j), (-0.9829680000000001-35.09223574967796j))"
filtered_velocity_2,0.065,2.23,85.515,0.971,81.981,0.026,"((-2.131506+81.95328573749782j), (-2.131506-81.95328573749782j))"
filtered_velocity_3,1.113,1.8,89.639,0.939,103.531,0.072,"((-7.454232+103.26229895896265j), (-7.454232-103.26229895896265j))"
filtered_velocity_4,0.065,1.82,92.045,0.948,106.16,0.074,"((-7.85584+105.8689349048832j), (-7.85584-105.8689349048832j))"
filtered_velocity_5,0.064,1.76,93.307,0.932,106.144,0.073,"((-7.748512+105.86080151683085j), (-7.748512-105.86080151683085j))"
