Time,Output
0.000000,0.984198
0.009205,0.992661
0.019284,1.000867
0.029485,0.989313
0.039088,0.978154
0.049512,0.986800
0.059757,0.995125
0.069449,1.003192
0.079276,0.991552
0.089332,0.980241
0.099252,0.988751
0.108958,0.997110
0.118801,1.005180
0.129193,1.012949
0.138908,1.040055
0.149116,1.085762
0.159310,1.130021
0.169403,1.192320
0.179036,1.252738
0.189152,1.311170
0.199111,1.367808
0.209105,1.422831
0.219328,1.495650
0.229058,1.566174
0.239316,1.634425
0.249562,1.681181
0.258900,1.726480
0.268818,1.789822
0.278979,1.831691
0.289206,1.872351
0.299203,1.931204
0.308863,1.968713
0.319264,2.005022
0.329063,2.040217
0.339163,2.074382
0.348830,2.107478
0.359142,2.120045
0.368956,2.132242
0.379214,2.144079
0.388924,2.155522
0.399244,2.166580
0.408837,2.177286
0.418863,2.187752
0.428935,2.197881
0.439057,2.188161
0.449194,2.178728
0.459211,2.169602
0.468915,2.160831
0.478987,2.152312
0.489128,2.143965
0.499036,2.135906
0.508883,2.108670
0.519478,2.082257
0.528892,2.076137
0.539214,2.070184
0.548817,2.044965
0.559065,2.020551
0.569107,1.996863
0.579519,1.973931
0.588780,1.951700
0.599057,1.929828
0.608983,1.908964
0.619225,1.889081
0.629125,1.869473
0.639200,1.850444
0.649045,1.832034
0.659221,1.833682
0.669157,1.835291
0.679070,1.817361
0.689052,1.799985
0.698921,1.783156
0.708991,1.766827
0.718943,1.770468
0.729425,1.774014
0.738869,1.757975
0.749481,1.742436
0.758821,1.746797
0.768984,1.751106
0.778880,1.735818
0.789487,1.740337
0.799455,1.744762
0.809325,1.749146
0.819045,1.753380
0.829092,1.757523
0.838775,1.761552
0.849114,1.765301
0.859260,1.768977
0.869416,1.772587
0.879023,1.776047
0.889091,1.779421
0.899065,1.802155
0.909110,1.804712
0.929116,1.787726
0.939278,1.790782
0.949114,1.813184
0.959284,1.815376
0.969112,1.817493
0.979073,1.819544
0.989025,1.821561
0.998942,1.842989
1.009239,1.844287
1.019691,1.845560
1.029113,1.846789
1.038931,1.847977
1.049170,1.849128
1.059109,1.850235
1.068793,1.870806
1.078849,1.871246
1.089096,1.871569
1.099138,1.871942
1.108646,1.872427
1.118976,1.872840
1.129161,1.873198
1.139058,1.873562
1.149078,1.873901
1.159319,1.874219
1.168813,1.874578
1.179064,1.874919
1.189299,1.875206
1.198910,1.875503
1.208994,1.875739
1.219000,1.875989
1.229783,1.876268
1.239672,1.876478
1.249301,1.876313
1.259362,1.876431
1.268727,1.876964
1.278921,1.877236
1.289001,1.857958
1.299213,1.858938
1.309241,1.859872
1.319495,1.860567
1.328984,1.861303
1.339568,1.862065
1.349169,1.862784
1.359494,1.863469
1.369377,1.864155
1.379311,1.845310
1.389234,1.846539
1.399323,1.847712
1.409430,1.848852
1.419288,1.849854
1.429207,1.851142
1.439262,1.852542
1.450359,1.853539
1.458970,1.854509
1.469284,1.835980
1.479442,1.837350
1.489681,1.838775
1.498920,1.840294
1.509134,1.841659
1.519202,1.842776
1.528855,1.843981
1.539031,1.845323
1.549096,1.846513
1.559214,1.828217
1.569316,1.829985
1.579024,1.831692
1.589300,1.833408
1.598906,1.835070
1.609019,1.836584
1.619096,1.838083
1.629058,1.839545
1.638956,1.840943
1.649250,1.842266
1.659071,1.843551
1.668787,1.844871
1.679049,1.845989
1.689187,1.847342
1.698805,1.848799
1.708853,1.849860
1.718876,1.850945
1.728737,1.852019
1.739071,1.852993
1.749026,1.854013
1.758961,1.855012
1.769129,1.855968
1.778919,1.856894
1.788826,1.857764
1.799513,1.858292
1.808950,1.859443
1.819230,1.860852
1.829164,1.861627
1.839145,1.862415
1.849133,1.863093
1.858974,1.863756
1.869046,1.844949
1.879392,1.846173
1.888953,1.847350
1.899189,1.848518
1.909070,1.849675
1.918931,1.850786
1.929274,1.851837
1.939345,1.852857
1.949221,1.853847
1.959331,1.854805
1.969004,1.855742
1.978976,1.856682
1.989336,1.857570
1.999212,1.838901
2.008832,1.840340
2.019437,1.841300
2.029045,1.843144
2.039074,1.845392
2.049294,1.846653
