System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_2,0.09,1.11,53.32,0.86,151.512,0.693,"((-104.99781599999999+109.23069522451162j), (-104.99781599999999-109.23069522451162j))"
filtered_velocity_3,0.088,1.09,55.159,0.867,153.778,0.693,"((-106.56815399999999+110.86433978981829j), (-106.56815399999999-110.86433978981829j))"
filtered_velocity_4,0.086,1.12,54.384,0.89,128.861,0.523,"((-67.394303+109.83244167432585j), (-67.394303-109.83244167432585j))"
filtered_velocity_5,0.09,1.11,50.305,0.879,127.343,0.587,"((-74.75034099999999+103.09522864509164j), (-74.75034099999999-103.09522864509164j))"
filtered_velocity_6,0.086,1.03,54.99,0.884,132.434,0.54,"((-71.51436+111.46506479516529j), (-71.51436-111.46506479516529j))"
filtered_velocity_7,0.095,1.11,50.697,0.885,129.842,0.565,"((-73.36073+107.13145316790539j), (-73.36073-107.13145316790539j))"
filtered_velocity_8,0.086,1.07,51.476,0.882,136.873,0.552,"((-75.553896+114.13074488594728j), (-75.553896-114.13074488594728j))"
filtered_velocity_9,0.086,1.14,55.194,0.881,137.484,0.555,"((-76.30362000000001+114.36611312314326j), (-76.30362000000001-114.36611312314326j))"
filtered_velocity_10,0.088,1.13,52.397,0.868,132.32,0.611,"((-80.84751999999999+104.74856041898427j), (-80.84751999999999-104.74856041898427j))"
filtered_velocity_11,0.089,1.1,51.512,0.893,119.928,0.505,"((-60.56364+103.51217654918864j), (-60.56364-103.51217654918864j))"
filtered_velocity_12,0.09,1.11,53.396,0.873,136.175,0.575,"((-78.300625+111.4120404157889j), (-78.300625-111.4120404157889j))"
filtered_velocity_13,0.09,1.1,53.232,0.863,115.23,0.095,"((-10.946850000000001+114.70884610646863j), (-10.946850000000001-114.70884610646863j))"
filtered_velocity_14,0.09,1.13,54.168,0.858,120.757,0.004,"((-0.483028+120.75603394013575j), (-0.483028-120.75603394013575j))"
filtered_velocity_15,0.088,1.09,51.914,0.868,147.624,0.692,"((-102.155808+106.56939648823735j), (-102.155808-106.56939648823735j))"
filtered_velocity_16,0.088,1.109,54.961,0.875,123.929,0.004,"((-0.49571600000000005+123.92800856403424j), (-0.49571600000000005-123.92800856403424j))"
filtered_velocity_17,0.086,1.1,53.951,0.873,138.541,0.617,"((-85.47979699999999+109.02666181186504j), (-85.47979699999999-109.02666181186504j))"
filtered_velocity_18,0.091,1.141,49.31,0.882,137.13,0.552,"((-75.69576+114.34504282225092j), (-75.69576-114.34504282225092j))"
filtered_velocity_19,0.092,1.13,47.595,0.875,138.557,0.574,"((-79.53171799999998+113.45813360428805j), (-79.53171799999998-113.45813360428805j))"
filtered_velocity_20,0.091,1.11,54.05,0.867,123.535,0.004,"((-0.49414+123.53401171604683j), (-0.49414-123.53401171604683j))"
filtered_velocity_2,0.068,1.05,74.443,0.884,154.03,0.001,"((-0.15403+154.02992298498074j), (-0.15403-154.02992298498074j))"
filtered_velocity_3,0.074,1.06,70.327,0.903,167.607,0.495,"((-82.965465+145.6325446675082j), (-82.965465-145.6325446675082j))"
filtered_velocity_4,0.066,1.3,77.294,0.867,158.048,0.132,"((-20.862336000000003+156.665035156614j), (-20.862336000000003-156.665035156614j))"
filtered_velocity_5,0.07,1.07,74.917,0.886,159.314,0.079,"((-12.585806+158.81608257141454j), (-12.585806-158.81608257141454j))"
filtered_velocity_6,0.07,1.06,73.094,0.889,155.373,0.002,"((-0.31074599999999997+155.37268925368923j), (-0.31074599999999997-155.37268925368923j))"
filtered_velocity_7,0.071,1.05,72.784,0.917,166.929,0.496,"((-82.796784+144.94821006227482j), (-82.796784-144.94821006227482j))"
filtered_velocity_8,0.071,1.07,73.07,0.887,256.464,0.828,"((-212.352192+143.80657095138295j), (-212.352192-143.80657095138295j))"
filtered_velocity_9,0.065,1.28,76.672,0.887,150.588,0.001,"((-0.150588+150.58792470598118j), (-0.150588-150.58792470598118j))"
filtered_velocity_10,0.067,1.07,74.838,0.894,156.651,0.001,"((-0.156651+156.65092167448043j), (-0.156651-156.65092167448043j))"
filtered_velocity_11,0.066,1.03,77.779,0.924,165.103,0.496,"((-81.89108800000001+143.36265313942909j), (-81.89108800000001-143.36265313942909j))"
filtered_velocity_12,0.069,1.35,69.864,0.915,165.991,0.498,"((-82.66351800000001+143.94358225660386j), (-82.66351800000001-143.94358225660386j))"
filtered_velocity_13,0.065,1.07,76.325,0.891,151.869,0.072,"((-10.934567999999999+151.47484406215236j), (-10.934567999999999-151.47484406215236j))"
filtered_velocity_14,0.062,1.069,79.977,0.863,154.049,0.001,"((-0.15404900000000002+154.04892297548076j), (-0.15404900000000002-154.04892297548076j))"
filtered_velocity_15,0.073,1.079,71.997,0.901,175.221,0.551,"((-96.546771+146.2228431212906j), (-96.546771-146.2228431212906j))"
filtered_velocity_16,0.065,1.08,79.024,0.866,155.344,0.129,"((-20.039376+154.0460377469366j), (-20.039376-154.0460377469366j))"
filtered_velocity_17,0.071,1.08,69.175,0.905,171.436,0.487,"((-83.489332+149.7325400111605j), (-83.489332-149.7325400111605j))"
filtered_velocity_18,0.65,1.311,76.253,0.903,170.85,0.537,"((-91.74645+144.12602614516746j), (-91.74645-144.12602614516746j))"
filtered_velocity_19,0.065,1.28,74.523,0.906,153.115,0.126,"((-19.29249+151.89471042337158j), (-19.29249-151.89471042337158j))"
filtered_velocity_20,0.06,1.31,81.251,0.876,151.922,0.001,"((-0.151922+151.92192403898102j), (-0.151922-151.92192403898102j))"
filtered_velocity_2,0.634,1.299,96.984,0.9,131.811,0.559,"((-73.68234900000002+109.29341776539977j), (-73.68234900000002-109.29341776539977j))"
filtered_velocity_3,0.611,1.271,102.943,0.899,135.084,0.579,"((-78.213636+110.13770562191453j), (-78.213636-110.13770562191453j))"
filtered_velocity_4,0.054,1.289,100.991,0.919,124.691,0.536,"((-66.834376+105.26638430995254j), (-66.834376-105.26638430995254j))"
filtered_velocity_5,0.617,1.24,106.047,0.897,135.45,0.599,"((-81.13454999999999+108.46145534842088j), (-81.13454999999999-108.46145534842088j))"
filtered_velocity_6,0.616,1.48,99.772,0.91,123.956,0.586,"((-72.638216+100.44291668573422j), (-72.638216-100.44291668573422j))"
filtered_velocity_7,0.621,1.55,101.475,0.91,124.117,0.557,"((-69.13316900000001+103.08071901678528j), (-69.13316900000001-103.08071901678528j))"
filtered_velocity_8,0.051,1.26,100.388,0.891,139.189,0.616,"((-85.74042399999999+109.64559915154015j), (-85.74042399999999-109.64559915154015j))"
filtered_velocity_9,0.052,1.22,104.626,0.913,130.859,0.557,"((-72.88846300000002+108.68003424041433j), (-72.88846300000002-108.68003424041433j))"
filtered_velocity_10,0.053,1.281,102.844,0.917,122.445,0.536,"((-65.63052+103.37027072388656j), (-65.63052-103.37027072388656j))"
filtered_velocity_11,0.052,1.55,106.395,0.911,118.579,0.538,"((-63.795502+99.95555595147273j), (-63.795502-99.95555595147273j))"
filtered_velocity_12,0.62,1.29,103.713,0.896,136.266,0.605,"((-82.44093+108.49845997402495j), (-82.44093-108.49845997402495j))"
filtered_velocity_13,0.052,1.23,102.239,0.895,138.152,0.607,"((-83.85826399999999+109.78964733938398j), (-83.85826399999999-109.78964733938398j))"
filtered_velocity_14,0.611,1.53,104.158,0.898,125.208,0.595,"((-74.49875999999999+100.63288738013235j), (-74.49875999999999-100.63288738013235j))"
filtered_velocity_15,0.62,1.51,106.379,0.91,120.333,0.561,"((-67.50681300000001+99.61355875373107j), (-67.50681300000001-99.61355875373107j))"
filtered_velocity_16,0.613,1.26,97.276,0.899,136.916,0.588,"((-80.506608+110.74600274652958j), (-80.506608-110.74600274652958j))"
filtered_velocity_17,0.054,1.26,106.366,0.919,125.653,0.543,"((-68.229579+105.51493239576453j), (-68.229579-105.51493239576453j))"
filtered_velocity_18,0.052,1.5,104.096,0.917,117.721,0.543,"((-63.922503000000006+98.85417265454703j), (-63.922503000000006-98.85417265454703j))"
filtered_velocity_19,0.051,1.29,106.442,0.887,112.576,0.178,"((-20.038528+110.77821614195281j), (-20.038528-110.77821614195281j))"
filtered_velocity_20,0.052,1.27,102.04,0.907,128.976,0.557,"((-71.83963200000001+107.11617921726192j), (-71.83963200000001-107.11617921726192j))"
filtered_velocity_2,0.559,1.401,127.591,0.912,99.206,0.59,"((-58.53154+80.09924632122578j), (-58.53154-80.09924632122578j))"
filtered_velocity_3,0.043,1.47,129.333,0.895,77.32,0.086,"((-6.649519999999999+77.03353999245783j), (-6.649519999999999-77.03353999245783j))"
filtered_velocity_4,0.57,1.4,126.349,0.909,99.757,0.579,"((-57.759302999999996+81.33462956179362j), (-57.759302999999996-81.33462956179362j))"
filtered_velocity_5,0.574,1.43,129.615,0.914,94.7,0.589,"((-55.7783+76.5301982821814j), (-55.7783-76.5301982821814j))"
filtered_velocity_6,0.044,1.439,126.311,0.901,101.85,0.671,"((-68.34135+75.51743096913123j), (-68.34135-75.51743096913123j))"
filtered_velocity_7,0.573,1.43,120.795,0.923,76.547,0.012,"((-0.9185639999999999+76.54148841757589j), (-0.9185639999999999-76.54148841757589j))"
filtered_velocity_8,0.576,1.481,124.512,0.912,96.567,0.587,"((-56.68482899999999+78.17938123470127j), (-56.68482899999999-78.17938123470127j))"
filtered_velocity_9,1.028,1.399,124.521,0.904,100.377,0.637,"((-63.940149+77.37699577301899j), (-63.940149-77.37699577301899j))"
filtered_velocity_10,0.042,1.42,132.696,0.9,115.943,0.74,"((-85.79782+77.98405819298968j), (-85.79782-77.98405819298968j))"
filtered_velocity_11,1.04,1.42,129.351,0.916,93.967,0.61,"((-57.319869999999995+74.45958361542924j), (-57.319869999999995-74.45958361542924j))"
filtered_velocity_12,1.048,1.47,128.79,0.909,101.124,0.632,"((-63.910368+78.36790311157097j), (-63.910368-78.36790311157097j))"
filtered_velocity_13,0.573,1.41,130.075,0.917,95.786,0.59,"((-56.51374+77.33792722340314j), (-56.51374-77.33792722340314j))"
filtered_velocity_14,0.041,1.41,133.315,0.896,81.32,0.1,"((-8.132+80.91237838551032j), (-8.132-80.91237838551032j))"
filtered_velocity_15,0.568,1.429,125.436,0.916,73.94,0.022,"((-1.62668+73.92210435436479j), (-1.62668-73.92210435436479j))"
filtered_velocity_16,0.042,1.655,131.388,0.907,78.848,0.088,"((-6.938624+78.5421071845327j), (-6.938624-78.5421071845327j))"
