Time,Output
0.000000,1.006716
0.004450,1.011677
0.008979,1.004070
0.010413,0.996602
0.014757,1.001723
0.016128,1.006755
0.021157,1.011689
0.025238,1.004103
0.026677,0.996629
0.031086,1.001735
0.032106,1.006788
0.033199,1.011763
0.036977,1.016315
0.043117,1.021096
0.053154,1.038531
0.061030,1.067745
0.071282,1.096355
0.082344,1.124383
0.093572,1.151650
0.104309,1.191292
0.115288,1.230283
0.122049,1.268072
0.132807,1.317656
0.147598,1.366253
0.154878,1.414034
0.164474,1.460683
0.175586,1.506261
0.182823,1.551082
0.193438,1.595004
0.203910,1.638110
0.210929,1.680363
0.221170,1.720783
0.232359,1.748631
0.243736,1.776788
0.254196,1.816264
0.260856,1.855063
0.271071,1.892965
0.282899,1.930139
0.293429,1.954133
0.303926,1.977645
0.311283,2.000710
0.320619,2.023281
0.331836,2.044627
0.343613,2.064946
0.354042,2.086958
0.361013,2.096723
0.371609,2.117531
0.382972,2.137841
0.393613,2.145194
0.403898,2.152502
0.410150,2.159685
0.421501,2.154249
0.432562,2.148874
0.443789,2.156058
0.454716,2.163182
0.460284,2.157709
0.476887,2.152312
0.488120,2.147020
0.494033,2.141848
0.504008,2.136773
0.511135,2.119348
0.521541,2.114378
0.533203,2.109645
0.543603,2.092941
0.554089,2.076403
0.561242,2.072602
0.575701,2.068893
0.583113,2.052808
0.593661,2.037049
0.603833,2.021616
0.611127,2.006469
0.621561,1.991607
0.632969,1.977052
0.643028,1.962838
0.654660,1.948868
0.665012,1.935136
0.671750,1.921702
0.682384,1.908526
0.693764,1.895552
0.704495,1.882899
0.711272,1.870555
0.721236,1.858397
0.732932,1.846510
0.744450,1.834851
0.755197,1.823304
0.765327,1.812070
0.771049,1.813611
0.783106,1.815045
0.794085,1.803991
0.804446,1.793137
0.816592,1.781833
0.827649,1.783069
0.839102,1.785794
0.844187,1.776166
0.855136,1.765692
0.864665,1.768223
0.871903,1.770848
0.882232,1.773211
0.893340,1.775579
0.904262,1.765317
0.915504,1.767647
0.921979,1.769898
0.932724,1.772237
0.944019,1.774527
0.954711,1.775794
0.961026,1.777568
0.971867,1.780186
0.987314,1.794288
1.004163,1.795896
1.009701,1.797890
1.015178,1.799627
1.021684,1.801321
1.032698,1.802896
1.044048,1.804488
1.054868,1.818143
1.065324,1.819324
1.071936,1.820937
1.086806,1.834660
1.093916,1.835609
1.104768,1.836645
1.115206,1.837674
1.121517,1.837973
1.132168,1.850381
1.143016,1.850947
1.154144,1.851729
1.165185,1.852622
1.171617,1.853607
1.182132,1.866123
1.193297,1.866254
1.204315,1.866878
1.214557,1.879208
1.221313,1.879128
1.232123,1.879525
1.243924,1.879653
1.254056,1.879353
