Time,Output
0.000000,1.016273
0.009920,1.004224
0.019758,1.012021
0.029626,1.019602
0.040002,1.026947
0.049741,1.034093
0.060206,1.021545
0.070051,1.009375
0.079903,1.017012
0.089823,1.024416
0.100838,1.031621
0.110732,1.019102
0.120398,1.006948
0.130179,1.014649
0.139463,1.041592
0.149640,1.067704
0.159997,1.093032
0.169912,1.137030
0.179439,1.179700
0.189641,1.240555
0.199669,1.299454
0.209879,1.356583
0.219594,1.411986
0.229878,1.465579
0.239880,1.536902
0.250034,1.606118
0.259732,1.653817
0.269903,1.699945
0.279521,1.764110
0.289847,1.826280
0.299688,1.867054
0.309478,1.906571
0.319660,1.964305
0.329928,2.000798
0.339651,2.036126
0.350039,2.070347
0.359674,2.103597
0.369772,2.135801
0.380002,2.147511
0.389790,2.158835
0.399903,2.189288
0.409536,2.199356
0.419703,2.189617
0.429881,2.199680
0.440052,2.209407
0.449571,2.218792
0.459895,2.208423
0.469671,2.198410
0.479884,2.208208
0.489623,2.198202
0.499999,2.169001
0.509687,2.160174
0.519917,2.151638
0.529597,2.123889
0.539689,2.096993
0.549791,2.090434
0.559988,2.084068
0.569661,2.058419
0.580057,2.033570
0.589804,2.009466
0.599794,1.986136
0.609895,1.963535
0.619741,1.941617
0.630156,1.920393
0.639719,1.899816
0.649594,1.879877
0.659852,1.860534
0.670129,1.841819
0.679665,1.823695
0.689798,1.806110
0.699974,1.789078
0.709695,1.772564
0.719574,1.756567
0.729664,1.741073
0.739906,1.726060
0.749818,1.730979
0.759625,1.735755
0.769804,1.720916
0.779662,1.725961
0.789795,1.730854
0.799900,1.716150
0.809739,1.721379
0.819553,1.726472
0.830032,1.731406
0.839830,1.736136
0.849843,1.740875
0.859902,1.745444
0.869856,1.749715
0.880063,1.753896
0.890056,1.757966
0.899711,1.781391
0.909976,1.784595
0.919652,1.787723
0.929841,1.790766
0.939725,1.793674
0.949517,1.815944
0.959689,1.818078
0.969952,1.820131
0.979582,1.841587
0.989654,1.842961
0.999923,1.844226
1.009850,1.864912
1.019775,1.865550
1.030615,1.866114
1.039947,1.886188
1.049811,1.886210
1.059761,1.886144
1.069763,1.886078
1.079682,1.886048
1.089836,1.905492
1.099914,1.904826
1.109577,1.904345
1.119832,1.903862
1.129913,1.903191
1.139814,1.902612
1.150031,1.902078
1.159630,1.901521
1.169908,1.901032
1.179675,1.900577
1.189818,1.900043
1.200078,1.899555
1.209911,1.899094
1.220023,1.898620
1.229655,1.898228
1.239818,1.897835
1.249806,1.897144
1.259846,1.896631
1.269706,1.876950
1.279593,1.877197
1.289667,1.877421
1.299943,1.877627
1.309710,1.877838
1.320268,1.878068
1.329870,1.878288
1.339970,1.858989
1.350090,1.859816
1.359993,1.860651
1.369597,1.861413
1.379977,1.862128
1.390133,1.843338
1.399853,1.844683
1.409502,1.845984
1.419684,1.847162
1.429771,1.848286
1.439887,1.829941
1.449910,1.831698
1.459733,1.833353
1.470052,1.834981
1.479465,1.836575
1.489618,1.838047
1.499771,1.839522
1.510005,1.840907
1.519859,1.842219
1.529525,1.843599
1.539744,1.844921
1.549928,1.846169
1.559896,1.847385
1.569826,1.829066
1.579919,1.830774
1.589591,1.832430
1.599903,1.834100
1.609689,1.835693
1.619741,1.837229
1.629653,1.838724
1.639704,1.840140
1.649881,1.841538
1.659709,1.842850
1.669800,1.844119
1.679840,1.845382
1.689569,1.846621
1.699689,1.847842
1.709815,1.848984
1.719562,1.850077
1.729800,1.851158
1.739535,1.852217
1.749951,1.872709
1.759633,1.873080
1.769715,1.873463
1.779502,1.873837
1.789840,1.874166
1.800147,1.874454
1.809703,1.874805
1.819952,1.875190
