System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.122,1.252,43.472,0.849,36.728,0.05
filtered_velocity_2,0.121,0.92,42.606,0.848,45.363,0.002
filtered_velocity_3,0.122,1.21,42.651,0.853,34.183,0.003
filtered_velocity_4,0.124,1.19,42.357,0.854,35.759,0.048
filtered_velocity_5,0.121,0.95,40.933,0.868,34.095,0.01
filtered_velocity_6,0.124,1.23,42.44,0.856,37.735,0.012
filtered_velocity_7,0.118,0.969,42.605,0.861,31.914,0.07
filtered_velocity_8,0.119,1.17,41.339,0.867,31.334,0.011
filtered_velocity_9,0.129,1.23,41.739,0.863,34.109,0.029
filtered_velocity_10,0.125,0.96,40.148,0.862,32.44,0.009
filtered_velocity_11,0.127,0.98,40.446,0.869,31.012,0.011
filtered_velocity_12,0.124,0.95,42.174,0.859,32.055,0.005
filtered_velocity_13,0.125,1.21,42.57,0.859,30.691,0.007
filtered_velocity_14,0.127,1.1,41.341,0.861,38.336,0.01
filtered_velocity_15,0.126,1.12,41.555,0.86,34.826,0.026
filtered_velocity_16,0.12,1.12,43.895,0.858,29.11,0.01
filtered_velocity_17,0.126,0.949,41.427,0.867,31.331,0.01
filtered_velocity_18,0.129,1.24,40.986,0.872,34.454,0.017
filtered_velocity_19,0.128,1.25,42.997,0.855,31.093,0.013
filtered_velocity_20,0.123,1.22,42.347,0.863,32.396,0.027
