Time,Output
0.000000,0.000000
0.004472,0.000000
0.009175,0.000000
0.013650,0.000000
0.014877,0.000000
0.019567,0.000000
0.020564,0.000000
0.024823,0.000000
0.026480,0.000000
0.030823,0.000000
0.032138,0.000000
0.036483,0.000000
0.037891,0.037330
0.042000,0.148525
0.047838,0.307230
0.059738,0.486110
0.070296,0.701025
0.076893,0.938107
0.087412,1.180755
0.098585,1.431005
0.109686,1.688155
0.119902,1.953621
0.126932,2.214316
0.137263,2.469016
0.159988,2.706133
0.170174,2.938717
0.176697,3.178890
0.187167,3.401997
0.197951,3.595955
0.209763,3.785977
0.220235,3.960197
0.226655,4.105891
0.237450,4.236102
0.248392,4.326415
0.258900,4.365148
0.269726,4.365758
0.277075,4.316645
0.287197,4.218630
0.298385,4.085245
0.308994,3.929830
0.320591,3.777354
0.330841,3.627761
0.337142,3.481304
0.347969,3.337822
0.359367,3.197069
0.370402,3.059030
0.376789,2.923823
0.387316,2.803742
0.398405,2.698441
0.408973,2.595268
0.420397,2.494128
0.427540,2.407399
0.437381,2.347283
0.448119,2.300807
0.459513,2.267743
0.470069,2.235333
0.476760,2.203502
0.487106,2.197266
0.498047,2.203526
0.509137,2.222003
0.520020,2.252698
0.526524,2.295258
0.537433,2.336844
0.552691,2.377560
0.559427,2.430012
0.570972,2.481427
0.580823,2.544246
0.587611,2.605591
0.598289,2.653580
0.608877,2.700972
0.620103,2.747101
0.626604,2.792238
0.637486,2.836497
0.647988,2.879840
0.659502,2.922346
0.670162,2.964168
0.681913,2.992541
0.691123,3.007785
0.698299,3.035373
0.709421,3.062442
0.720274,3.076483
0.726945,3.077750
0.737313,3.079009
0.748337,3.080279
0.759658,3.081497
0.770054,3.082609
0.776994,3.071320
0.787240,3.060338
0.798949,3.037094
0.810082,3.014271
0.819916,2.991889
0.830724,2.969994
0.837082,2.948533
0.847883,2.915036
0.858972,2.882170
0.871480,2.862456
0.880919,2.830721
0.886908,2.787100
0.898348,2.756801
0.909075,2.727112
0.920144,2.698010
0.930703,2.669481
0.937175,2.641500
0.948534,2.614087
0.959609,2.587208
0.970099,2.573244
0.977563,2.559592
