Time,Output
0.000000,1.858193
0.009908,1.858982
0.019621,1.859734
0.030085,1.860523
0.039818,1.861284
0.049688,1.862034
0.059874,1.862759
0.069981,1.863438
0.079613,1.864117
0.090355,1.864814
0.100730,1.865452
0.110020,1.866084
0.119612,1.925167
0.130052,2.060197
0.139734,2.268606
0.149691,2.509797
0.159688,2.743990
0.169437,2.990375
0.179593,3.228768
0.189788,3.439972
0.200145,3.645005
0.209562,3.843732
0.219655,4.016766
0.229964,4.145563
0.239726,4.250947
0.249647,4.333356
0.259807,4.374150
0.269710,4.355517
0.279988,4.278920
0.289690,4.165714
0.299901,4.036577
0.309553,3.891975
0.319781,3.712901
0.329620,3.539359
0.339762,3.390690
0.349507,3.227146
0.359655,3.068651
0.369925,2.934580
0.379613,2.824146
0.389880,2.717094
0.399500,2.613361
0.409748,2.532347
0.419803,2.473332
0.429506,2.416147
0.439945,2.360727
0.449619,2.326497
0.459734,2.312823
0.469527,2.319039
0.479681,2.344566
0.489790,2.388775
0.499961,2.431544
0.509632,2.492537
0.519759,2.551634
0.529979,2.608730
0.539578,2.683725
0.549736,2.756680
0.560261,2.826949
0.570296,2.894879
0.579969,2.961028
0.589928,3.025097
0.599579,3.067643
0.609808,3.108889
0.619792,3.148895
0.629971,3.187593
0.639594,3.225108
0.649992,3.241620
0.659845,3.238364
0.669693,3.235661
0.679906,3.232735
0.689595,3.229892
0.699780,3.227170
0.709564,3.205063
0.719932,3.164156
0.729600,3.124502
0.739875,3.105522
0.749531,3.067667
0.759843,3.031021
0.769574,2.995497
0.779844,2.941659
0.789514,2.889414
0.799785,2.838721
0.809728,2.789681
0.819412,2.742161
0.829862,2.715589
0.839946,2.689851
0.849775,2.645407
0.859539,2.602352
0.869821,2.580105
0.879440,2.558540
0.889578,2.537651
0.899894,2.536907
0.909715,2.536183
0.919416,2.535470
0.929756,2.554273
0.939759,2.572456
0.949539,2.590078
0.959881,2.626656
0.969900,2.662087
0.979567,2.696402
0.989780,2.729685
0.999784,2.761941
1.009498,2.793192
1.019722,2.823484
1.029680,2.852799
1.039689,2.881270
1.049891,2.908849
1.059612,2.935563
1.069694,2.961447
1.079397,2.967018
1.089679,2.972441
1.099897,2.997158
1.109713,3.001652
1.119882,3.005919
1.129631,3.010067
1.139898,2.994668
1.149735,2.979748
1.159942,2.965288
1.169786,2.951225
1.179732,2.937630
1.189610,2.924560
1.199705,2.911887
1.210307,2.880036
1.219720,2.849153
1.229837,2.838738
1.239688,2.809206
1.249846,2.780520
1.259596,2.772145
1.269890,2.744616
1.279631,2.718001
1.289913,2.711646
1.299742,2.705519
1.309970,2.699574
1.319608,2.674283
1.329926,2.649797
1.339651,2.645577
1.350013,2.661011
1.359649,2.675919
1.370171,2.670886
1.379918,2.685469
1.390424,2.699517
1.400490,2.713112
1.409573,2.726454
1.419884,2.739491
1.429481,2.752012
1.439648,2.763951
1.449952,2.775572
1.459869,2.786992
1.469847,2.817487
1.479633,2.827533
1.489592,2.837280
1.499612,2.846700
1.509916,2.855858
1.519675,2.884222
1.530352,2.891451
1.539737,2.879754
1.549681,2.888633
1.559568,2.896439
1.570491,2.903625
1.579377,2.910937
1.589522,2.898902
1.599995,2.887005
1.609519,2.875448
1.619348,2.864151
1.629865,2.853230
1.639868,2.842638
1.649561,2.832406
1.659761,2.822534
1.669548,2.812946
1.679761,2.803669
1.689452,2.794670
1.699654,2.786000
1.709682,2.777573
1.719868,2.769332
1.729811,2.761353
1.739748,2.753631
1.749384,2.765657
1.759413,2.777359
1.769639,2.769174
1.779606,2.761196
1.789862,2.753421
1.799741,2.745962
1.809929,2.758380
1.819480,2.770304
1.829668,2.762258
1.839906,2.754529
1.850180,2.766556
1.859791,2.778205
1.869635,2.770024
1.879460,2.781492
1.889498,2.792655
1.899628,2.784118
1.909437,2.795125
1.919767,2.805730
1.929534,2.816130
1.939791,2.826204
1.949434,2.816534
1.959557,2.826588
1.969645,2.836321
1.979927,2.826327
1.989595,2.836073
1.999811,2.845485
2.009551,2.835197
2.019771,2.825226
2.029559,2.834990
2.039719,2.844478
2.049521,2.834223
2.059749,2.824290
2.069554,2.814690
2.079502,2.824806
2.099764,2.835981
2.109332,2.827447
2.119619,2.817711
2.129502,2.808224
2.139737,2.818542
2.149996,2.828533
2.159610,2.818768
2.170233,2.809327
2.179520,2.800180
2.189782,2.791272
2.199692,2.782650
2.209872,2.774273
2.219640,2.785683
2.229888,2.796750
2.240005,2.787966
