System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.021,3.29,227.509,0.649,52.858,0.116
filtered_velocity_2,0.028,2.55,192.947,0.783,87.397,0.086
filtered_velocity_3,0.029,2.57,190.162,0.817,85.006,0.088
filtered_velocity_4,0.028,2.2,188.324,0.823,99.92,0.103
filtered_velocity_5,0.029,2.17,185.776,0.823,99.687,0.089
filtered_velocity_6,0.03,3.46,181.013,0.831,93.738,0.084
filtered_velocity_7,0.029,2.52,187.857,0.825,96.635,0.086
filtered_velocity_8,0.029,2.16,186.041,0.828,102.993,0.103
filtered_velocity_9,0.028,2.61,180.607,0.823,98.883,0.089
filtered_velocity_10,0.028,2.58,189.646,0.824,88.276,0.07
filtered_velocity_11,0.029,2.2,186.14,0.822,94.135,0.101
filtered_velocity_12,0.028,2.19,190.073,0.822,90.399,0.095
filtered_velocity_13,0.028,2.149,189.441,0.826,100.639,0.093
filtered_velocity_14,0.03,2.59,182.937,0.823,104.198,0.107
filtered_velocity_15,0.028,2.58,185.623,0.822,97.308,0.103
filtered_velocity_16,0.03,2.66,183.238,0.824,95.021,0.095
filtered_velocity_17,0.029,2.65,187.894,0.821,92.017,0.083
filtered_velocity_18,0.03,2.58,183.408,0.823,90.465,0.101
filtered_velocity_19,0.03,2.16,184.123,0.827,96.001,0.089
filtered_velocity_20,0.03,2.55,181.328,0.825,97.588,0.104
