Time,Output
0.000000,1.457560
0.010362,1.451251
0.020350,1.445215
0.030211,1.439412
0.040194,1.453245
0.049840,1.466678
0.060180,1.460168
0.070542,1.453829
0.080348,1.447731
0.090817,1.441797
0.100713,1.455571
0.110071,1.468978
0.119527,1.462420
0.129715,1.494991
0.139980,1.604444
0.150143,1.749340
0.160210,1.909330
0.169745,2.083930
0.179780,2.253140
0.189940,2.416885
0.199814,2.575653
0.209814,2.710043
0.219898,2.840279
0.230033,2.966621
0.240217,3.088845
0.249820,3.207426
0.259945,3.283422
0.269942,3.356940
0.279776,3.428114
0.289769,3.477667
0.299865,3.506210
0.309771,3.514365
0.320269,3.522517
0.329815,3.510849
0.339807,3.479484
0.350524,3.449337
0.360188,3.400863
0.369670,3.334455
0.379982,3.270235
0.389865,3.207856
0.399680,3.127895
0.410083,3.030930
0.420040,2.956487
0.430073,2.884351
0.439904,2.794936
0.449890,2.708293
0.459980,2.624336
0.469607,2.542982
0.479735,2.464149
0.490036,2.387761
0.500260,2.313740
0.510191,2.242014
0.519888,2.172512
0.530234,2.105164
0.539883,2.039904
0.549908,1.976667
0.560064,1.934868
0.570193,1.894365
0.579963,1.874611
0.589845,1.874940
0.599812,1.875267
0.609984,1.895014
0.619853,1.914176
0.630069,1.952299
0.640000,2.008621
0.650017,2.063131
0.660240,2.116004
0.670233,2.167254
0.679779,2.236462
0.689964,2.303524
0.700103,2.348981
0.710416,2.412562
0.720334,2.474118
0.729733,2.514268
0.739972,2.553173
0.749988,2.590892
0.759858,2.627507
0.770092,2.662929
0.779918,2.697164
0.789719,2.710940
0.800057,2.724319
0.809791,2.737211
0.820068,2.749738
0.830519,2.761901
0.840146,2.754076
0.850699,2.744919
0.860294,2.717606
0.869928,2.692314
0.880022,2.667104
0.889948,2.643113
0.900136,2.619624
0.910200,2.596813
0.920352,2.574734
0.930994,2.533848
0.939954,2.494247
0.949806,2.455905
0.960241,2.418748
0.970460,2.382314
0.979982,2.347477
0.990157,2.314080
1.000617,2.280700
1.010073,2.248987
1.020243,2.238309
1.029609,2.227395
1.040967,2.196102
1.050435,2.187985
1.059708,2.181180
1.069724,2.172181
1.079939,2.183092
1.090850,2.191790
1.100621,2.201891
1.109893,2.213236
1.119813,2.222527
1.130031,2.231484
1.140104,2.240161
1.149927,2.248597
1.160095,2.276339
1.169834,2.303166
1.179645,2.309614
1.189752,2.335520
1.199862,2.360570
1.210114,2.384782
1.219866,2.408286
1.230001,2.411538
1.239752,2.434157
1.249933,2.456048
1.260097,2.457818
1.270041,2.459565
1.280341,2.480720
1.290032,2.501135
1.299776,2.501507
1.310119,2.501843
1.320306,2.502159
1.330086,2.502565
1.339862,2.502893
1.349770,2.483753
1.359976,2.465193
1.370250,2.466704
1.379861,2.468210
1.389664,2.450111
1.399789,2.432579
1.410167,2.415532
1.419952,2.399188
1.439921,2.383479
1.450173,2.367887
1.460194,2.352832
1.470345,2.338363
1.480052,2.343918
1.490058,2.329773
1.499743,2.315928
1.510442,2.302585
1.520400,2.289649
1.530367,2.296600
1.540114,2.303303
1.549870,2.290355
1.559844,2.277825
1.569659,2.285142
1.580582,2.292155
1.589689,2.298984
1.599702,2.305655
1.610029,2.312027
1.619902,2.318246
1.629950,2.324239
1.640155,2.330098
1.650023,2.335832
1.660099,2.341344
1.670099,2.346680
1.679842,2.371346
1.690173,2.395273
1.700168,2.398894
1.710058,2.402455
1.720036,2.405919
1.729705,2.409231
1.739811,2.412441
1.750142,2.415555
1.759890,2.418635
1.770021,2.421606
1.779831,2.424420
1.789932,2.427136
1.799983,2.429789
1.809763,2.412912
1.820143,2.396590
1.830152,2.400186
1.840013,2.403637
1.849662,2.407051
1.859984,2.410391
1.869933,2.394124
1.880002,2.378325
1.889645,2.382531
1.899819,2.386593
1.909887,2.371053
1.920052,2.355949
1.930165,2.360762
1.939750,2.365514
1.949982,2.370112
1.959951,2.355074
1.969985,2.340475
1.979902,2.345795
1.989899,2.350956
2.000216,2.356001
2.009990,2.341432
2.019921,2.327245
2.030199,2.333071
2.039844,2.338705
2.050149,2.344091
2.059794,2.349354
2.069987,2.354369
