System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,1.0,3.4,168.19,0.931,57.795,0.628
filtered_velocity_2,1.911,2.69,159.57,0.949,43.986,0.482
filtered_velocity_3,0.99,3.35,170.394,0.918,42.682,0.104
filtered_velocity_4,0.037,3.03,163.875,0.945,35.271,0.104
filtered_velocity_5,0.032,3.149,174.574,0.914,37.261,0.002
filtered_velocity_6,0.034,2.699,171.109,0.892,32.097,0.018
filtered_velocity_7,0.494,2.39,173.163,0.744,37.474,0.453
filtered_velocity_8,0.035,2.709,168.73,0.954,41.054,0.005
filtered_velocity_9,0.956,3.33,165.154,0.941,41.526,0.09
filtered_velocity_10,0.033,3.16,173.029,0.893,35.676,0.03
filtered_velocity_11,2.422,,175.841,0.909,36.396,0.02
filtered_velocity_12,0.035,3.329,163.993,0.953,48.102,0.627
filtered_velocity_13,0.036,2.93,161.363,0.98,32.717,0.007
filtered_velocity_14,1.428,3.4,160.237,0.97,41.162,0.214
filtered_velocity_15,0.033,3.17,165.968,0.948,52.654,0.625
filtered_velocity_16,0.041,2.58,158.162,0.974,43.176,0.666
filtered_velocity_17,1.425,3.38,151.744,1.038,45.818,0.638
filtered_velocity_18,1.953,2.64,152.151,0.985,42.7,0.026
filtered_velocity_19,1.455,2.99,158.091,0.989,37.296,0.168
filtered_velocity_20,1.405,3.17,162.803,0.965,41.658,0.03
