System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_1,0.665,3.18,68.361,0.884,132.749,0.129,"((-17.124621+131.63982815472815j), (-17.124621-131.63982815472815j))"
filtered_velocity_2,0.673,1.37,66.444,0.9,136.383,0.061,"((-8.319363000000001+136.12902294615293j), (-8.319363000000001-136.12902294615293j))"
filtered_velocity_3,0.662,1.53,67.71,0.895,135.153,0.13,"((-17.56989+134.0060908107833j), (-17.56989-134.0060908107833j))"
filtered_velocity_4,0.661,1.37,71.165,0.873,136.879,0.129,"((-17.657391+135.73532032626258j), (-17.657391-135.73532032626258j))"
filtered_velocity_5,0.655,1.36,68.539,0.875,133.839,0.133,"((-17.800587+132.64997935716173j), (-17.800587-132.64997935716173j))"
filtered_velocity_6,0.087,1.359,65.589,0.875,154.473,0.57,"((-88.04961+126.92192051748943j), (-88.04961-126.92192051748943j))"
filtered_velocity_7,0.678,1.39,63.379,0.885,138.911,0.122,"((-16.947142+137.87334876266635j), (-16.947142-137.87334876266635j))"
filtered_velocity_8,0.664,1.37,66.963,0.896,137.492,0.002,"((-0.274984+137.491725015725j), (-0.274984-137.491725015725j))"
filtered_velocity_9,0.662,1.369,68.156,0.869,136.155,0.002,"((-0.27231+136.15472768972768j), (-0.27231-136.15472768972768j))"
filtered_velocity_10,0.093,1.57,63.756,0.898,147.667,0.511,"((-75.457837+126.93170496090184j), (-75.457837-126.93170496090184j))"
filtered_velocity_11,0.666,1.36,66.509,0.878,140.16,0.123,"((-17.23968+139.0957189617912j), (-17.23968-139.0957189617912j))"
filtered_velocity_12,0.094,1.39,64.007,0.899,153.118,0.512,"((-78.396416+131.5261338379371j), (-78.396416-131.5261338379371j))"
filtered_velocity_13,0.656,1.62,67.646,0.867,137.514,0.002,"((-0.27502800000000005+137.51372497172497j), (-0.27502800000000005-137.51372497172497j))"
filtered_velocity_14,0.653,1.56,66.486,0.883,136.853,0.125,"((-17.106625+135.77962656492093j), (-17.106625-135.77962656492093j))"
filtered_velocity_15,0.089,1.37,65.973,0.903,142.944,0.508,"((-72.615552+123.12582484489309j), (-72.615552-123.12582484489309j))"
filtered_velocity_16,0.656,1.62,66.204,0.883,136.236,0.126,"((-17.165736+135.15023197752308j), (-17.165736-135.15023197752308j))"
filtered_velocity_17,0.091,1.36,64.612,0.893,148.764,0.525,"((-78.1011+126.61337162713107j), (-78.1011-126.61337162713107j))"
filtered_velocity_18,0.641,1.64,70.757,0.877,132.252,0.062,"((-8.199624+131.99756691037388j), (-8.199624-131.99756691037388j))"
filtered_velocity_19,0.662,1.37,64.536,0.895,136.761,0.121,"((-16.548081+135.75614953370413j), (-16.548081-135.75614953370413j))"
filtered_velocity_20,0.09,1.62,61.831,0.895,146.746,0.513,"((-75.280698+125.96509446919332j), (-75.280698-125.96509446919332j))"
filtered_velocity_1,0.618,1.59,93.467,0.886,86.357,0.173,"((-14.939760999999999+85.05489398184491j), (-14.939760999999999-85.05489398184491j))"
filtered_velocity_2,0.06,1.75,94.367,0.887,86.219,0.071,"((-6.121548999999999+86.00141044680953j), (-6.121548999999999-86.00141044680953j))"
filtered_velocity_3,0.064,1.99,92.905,0.913,93.531,0.553,"((-51.722643000000005+77.92827575466143j), (-51.722643000000005-77.92827575466143j))"
filtered_velocity_4,0.614,1.8,94.198,0.904,101.431,0.628,"((-63.698668+78.93495712310087j), (-63.698668-78.93495712310087j))"
filtered_velocity_5,0.06,1.55,96.598,0.911,96.95,0.569,"((-55.16455+79.72562275264772j), (-55.16455-79.72562275264772j))"
filtered_velocity_6,0.61,1.75,94.931,0.91,99.153,0.605,"((-59.987565000000004+78.94814408439741j), (-59.987565000000004-78.94814408439741j))"
filtered_velocity_7,0.613,2.059,96.872,0.885,113.376,0.683,"((-77.43580800000001+82.81191348705289j), (-77.43580800000001-82.81191348705289j))"
filtered_velocity_8,0.066,1.81,92.679,0.913,74.407,0.019,"((-1.413733+74.39356832418183j), (-1.413733-74.39356832418183j))"
filtered_velocity_9,0.617,1.79,93.191,0.912,97.188,0.586,"((-56.952168+78.75251046220544j), (-56.952168-78.75251046220544j))"
