Time,Output
0.000000,1.628003
0.001696,1.620656
0.006273,1.625885
0.010170,1.631019
0.011508,1.623623
0.016088,1.628813
0.017084,1.633904
0.021140,1.626424
0.022380,1.619090
0.026939,1.624362
0.028075,1.629558
0.032565,1.634563
0.033937,1.676904
0.038398,1.780777
0.045190,1.932538
0.055578,2.105715
0.066726,2.300100
0.078522,2.515919
0.084564,2.714790
0.094563,2.885009
0.105330,3.064461
0.116688,3.239765
0.127497,3.387105
0.139794,3.518955
0.145496,3.623222
0.155120,3.676193
0.166299,3.678079
0.177792,3.630162
0.184808,3.533429
0.194904,3.413719
0.205493,3.283877
0.216601,3.156602
0.227585,3.031943
0.238424,2.909727
0.245130,2.802334
0.255139,2.697114
0.266524,2.606506
0.277989,2.530134
0.287851,2.455046
0.295271,2.393876
0.305440,2.358894
0.316461,2.324604
0.327488,2.303599
0.338042,2.307894
0.345632,2.324484
0.355753,2.340749
0.366868,2.368914
0.377900,2.408981
0.387839,2.448497
0.395154,2.487226
0.411896,2.524987
0.421331,2.561979
0.427880,2.598388
0.439384,2.634088
0.445280,2.668711
0.456320,2.702922
0.467276,2.724177
0.478681,2.744776
0.489357,2.762526
0.495652,2.782989
0.505810,2.793172
0.517406,2.800107
0.528445,2.806925
0.534631,2.801091
0.545064,2.795380
0.556412,2.789840
0.571774,2.784388
0.578466,2.778963
0.589496,2.761245
0.599634,2.743940
0.609977,2.726967
0.621796,2.710280
0.628947,2.693930
0.639772,2.665484
0.649880,2.637585
0.656710,2.610223
0.666825,2.595907
0.677886,2.581905
0.684628,2.555663
0.695225,2.529898
0.705533,2.517161
0.716828,2.504664
0.727639,2.492421
0.734978,2.480443
0.745269,2.468633
0.755800,2.469534
0.766783,2.470426
0.777964,2.471284
0.785044,2.472154
0.794922,2.472984
0.806071,2.473770
0.817343,2.486985
0.828135,2.499771
0.834755,2.499978
0.844595,2.512897
0.855869,2.525470
0.866834,2.537643
0.878477,2.549598
0.888481,2.561312
0.895149,2.572772
0.905806,2.584054
0.917337,2.595083
0.928095,2.593562
0.938288,2.604390
0.945647,2.614901
0.955605,2.612821
0.967189,2.610873
0.977624,2.621470
0.997217,2.631738
1.001673,2.629371
1.010727,2.627050
1.017370,2.624770
1.027520,2.622597
1.034173,2.620503
1.045162,2.605971
1.055735,2.591700
1.066428,2.590140
1.077638,2.588597
1.084584,2.587095
1.094624,2.585633
1.105573,2.571817
1.116944,2.558257
1.127967,2.557263
1.138017,2.556331
1.144469,2.555470
1.155270,2.554627
1.166613,2.553787
1.177666,2.552973
1.188426,2.552253
1.195168,2.551501
1.205254,2.550731
