Time,Output
0.000000,2.081606
0.004517,2.077753
0.008835,2.073854
0.013570,2.082542
0.018729,2.078705
0.023282,2.074846
0.024467,2.083530
0.028736,2.079616
0.030289,2.075793
0.034422,2.084523
0.035570,2.093020
0.040180,2.126068
0.041340,2.220983
0.045526,2.363871
0.052003,2.528471
0.063276,2.702405
0.070073,2.897870
0.080645,3.101865
0.091049,3.289395
0.101980,3.473091
0.113066,3.653045
0.123503,3.817132
0.135359,3.953143
0.141885,4.031420
0.153522,4.035983
0.163892,3.983447
0.169907,3.879600
0.180306,3.728023
0.190822,3.542101
0.202264,3.360065
0.213129,3.181840
0.220709,3.006844
0.230452,2.847612
0.240854,2.704106
0.252033,2.613257
0.263736,2.586386
0.270085,2.622233
0.281018,2.707134
0.290854,2.827795
0.301953,2.983373
0.313009,3.135661
0.320584,3.285083
0.331388,3.431558
0.341405,3.575058
0.352189,3.703424
0.363360,3.804323
0.369798,3.890791
0.380686,3.938213
0.391555,3.922445
0.402777,3.869650
0.412900,3.780555
0.419619,3.655947
0.435998,3.521359
0.442243,3.389753
0.452457,3.260201
0.463185,3.132848
0.474014,3.021046
0.480266,2.911491
0.490961,2.816516
0.502365,2.748295
0.513299,2.706340
0.523254,2.702519
0.530338,2.736092
0.541035,2.806394
0.552049,2.900150
0.563252,2.992004
0.573453,3.081417
0.580075,3.182245
0.591174,3.281792
0.602156,3.353511
0.613189,3.423987
0.623506,3.493316
0.630413,3.548552
0.641053,3.590202
0.652066,3.618593
0.663218,3.646471
0.673449,3.661441
0.681150,3.651195
0.692316,3.628607
0.702522,3.594067
0.713454,3.547821
0.720097,3.502463
0.731069,3.457970
0.741434,3.401920
0.752385,3.347006
0.763771,3.293179
0.774316,3.227974
0.780810,3.164060
0.791238,3.101412
0.802276,3.040004
0.813271,2.979812
0.820121,2.920811
0.830236,2.862979
0.841510,2.806292
0.852720,2.763158
0.863280,2.733341
0.870068,2.716557
0.880429,2.724923
0.891402,2.758086
0.902395,2.803029
0.914773,2.847067
0.923664,2.890230
0.930221,2.945007
0.941061,2.998728
0.952333,3.051262
0.963959,3.102826
0.970255,3.140982
0.981437,3.185813
1.003382,3.220846
1.008042,3.247658
1.012999,3.270435
1.023649,3.292811
1.030189,3.314694
1.040764,3.323731
1.052316,3.319995
1.063192,3.316522
1.073405,3.313295
1.080557,3.309900
1.090968,3.306568
1.101911,3.278063
1.113346,3.250718
1.120630,3.236884
1.130891,3.210259
1.140756,3.171555
1.152548,3.144864
1.162867,3.119393
1.170282,3.083222
1.181265,3.047069
1.196208,3.011596
1.202879,2.976836
1.213276,2.942752
1.223610,2.909413
1.230644,2.889161
1.241606,2.869223
1.252749,2.849742
1.268517,2.843094
1.274631,2.836387
1.280945,2.830008
1.292618,2.836327
1.303221,2.841744
1.314009,2.848045
1.324470,2.867218
1.330587,2.885125
1.341921,2.902717
1.353175,2.932350
1.363608,2.961376
1.374715,2.975551
1.380738,2.991452
1.391217,3.020056
1.402641,3.047081
1.413808,3.062427
1.424878,3.076444
1.430895,3.090194
1.441593,3.103711
1.452318,3.104421
1.463541,3.105199
1.469931,3.105982
1.480340,3.106655
1.495458,3.107258
1.502388,3.108020
1.513118,3.108866
1.520149,3.097056
1.530426,3.085462
1.541006,3.074144
1.553121,3.062980
1.563923,3.052106
1.570111,3.029059
1.580789,3.006411
1.591092,2.996647
1.601845,2.987049
1.613198,2.977688
1.620418,2.968594
1.630768,2.959577
1.641231,2.950689
1.652105,2.942017
1.662813,2.933527
1.670141,2.925237
1.680172,2.929637
1.690990,2.933871
1.701995,2.925455
1.713081,2.929759
1.720508,2.933984
1.730503,2.938089
1.741205,2.954612
1.752443,2.970680
1.763489,2.973995
1.770138,2.977371
1.780184,2.993085
1.791449,3.008478
1.802656,3.023548
1.813269,3.025861
1.820074,3.028212
1.830332,3.042881
1.840964,3.044808
1.852173,3.046744
1.863239,3.061160
1.869857,3.062823
1.880256,3.064308
1.891043,3.065861
1.902216,3.054891
1.920175,3.056591
1.925724,3.058266
1.935223,3.047434
1.945549,3.049376
1.952389,3.051281
1.964371,3.040670
1.974308,3.030232
1.981610,3.032386
2.004751,3.034556
2.009324,3.024118
2.013860,3.014014
2.020450,3.004259
2.030390,3.006992
2.040916,3.009667
2.052095,2.999824
2.063273,2.990156
2.070064,2.993156
2.080408,2.996124
2.091262,2.998990
2.102380,3.001804
2.112998,2.992186
2.120683,2.995242
2.134961,2.998159
2.141986,3.000959
2.152620,3.003742
2.162947,3.006503
2.170129,3.009217
2.180476,3.011842
2.190735,3.026793
2.202244,3.029013
2.213557,3.031268
2.219880,3.033496
2.231060,3.035651
2.241889,3.037716
2.251904,3.039787
2.263155,3.041844
2.273232,3.043853
2.280469,3.045805
2.291731,3.047620
2.302078,3.049430
2.313092,3.051346
2.323615,3.053202
2.330692,3.054954
2.341833,3.056697
2.352541,3.045847
2.363317,3.047782
2.370098,3.049779
2.380446,3.039160
2.391497,3.041209
2.402583,3.043158
2.413384,3.032674
2.420139,3.034892
2.430823,3.037001
2.441512,3.039055
2.452304,3.041086
2.463381,3.030651
2.469810,3.032870
2.480907,3.034998
2.491551,3.024632
2.501662,3.026995
2.513018,3.029337
2.520442,3.031548
2.530117,3.033714
2.540986,3.035970
2.552419,3.038075
2.563068,3.027609
2.570054,3.029859
2.581094,3.032070
2.590757,3.034224
2.601761,3.036330
