System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.932,2.189,87.188,1.088,54.223,0.0
filtered_velocity_2,0.04,2.457,88.659,1.085,54.998,0.014
filtered_velocity_3,0.04,2.389,88.657,1.087,58.503,0.001
filtered_velocity_4,1.334,2.178,86.986,1.087,55.97,0.002
filtered_velocity_5,0.915,2.217,90.269,1.084,58.482,0.013
filtered_velocity_6,0.041,2.209,89.094,1.081,46.742,0.017
filtered_velocity_7,0.043,2.2,87.035,1.081,53.086,0.013
filtered_velocity_8,0.045,2.159,89.033,1.087,53.933,0.001
filtered_velocity_9,0.051,2.192,89.992,1.086,50.812,0.001
filtered_velocity_10,0.972,2.223,87.742,1.091,48.336,0.0
filtered_velocity_11,0.047,2.445,88.763,1.084,53.865,0.013
filtered_velocity_12,0.952,2.213,86.962,1.088,56.099,0.001
filtered_velocity_13,0.036,2.191,88.786,1.078,53.618,0.002
filtered_velocity_14,0.047,2.137,89.849,1.085,59.952,0.013
filtered_velocity_15,0.043,2.465,89.273,1.084,60.762,0.002
filtered_velocity_16,0.029,1.606,97.286,1.109,54.768,0.003
filtered_velocity_17,0.041,2.191,88.303,1.086,50.825,0.002
filtered_velocity_18,0.05,2.19,90.123,1.086,56.358,0.013
filtered_velocity_19,0.047,2.564,88.982,1.083,52.264,0.001
filtered_velocity_20,0.039,2.167,88.299,1.086,53.913,0.002
