Time,Output
0.000000,1.000550
0.010254,1.008483
0.020126,1.016159
0.029742,1.004129
0.040055,0.992535
0.050076,1.000696
0.059979,1.008652
0.069928,1.016403
0.080241,1.004332
0.090119,0.992690
0.100393,1.000912
0.110245,1.008875
0.119678,1.016583
0.129924,1.043492
0.139868,1.088977
0.150058,1.133073
0.159657,1.195363
0.170121,1.275196
0.179853,1.333076
0.189783,1.389135
0.199733,1.462910
0.209884,1.553881
0.220065,1.642038
0.230244,1.708036
0.239843,1.771970
0.250189,1.833920
0.259795,1.874485
0.269960,1.913732
0.280341,1.971112
0.291620,2.026774
0.299875,2.061488
0.309811,2.095060
0.319609,2.127454
0.329815,2.139364
0.340529,2.170390
0.349993,2.200385
0.359926,2.210105
0.369710,2.219651
0.379912,2.209280
0.390090,2.199227
0.400183,2.208952
0.409961,2.198848
0.420516,2.189183
0.429826,2.179867
0.441353,2.170729
0.450136,2.161862
0.460413,2.133482
0.469808,2.126121
0.481723,2.119281
0.490468,2.092549
0.500046,2.066647
0.510078,2.041122
0.520018,2.016817
0.530118,1.993547
0.540375,1.970716
0.550516,1.948661
0.560019,1.927205
0.570111,1.906429
0.579791,1.886286
0.590032,1.886108
0.599723,1.885916
0.609902,1.866481
0.619968,1.847633
0.629837,1.829332
0.639953,1.811586
0.650045,1.794363
0.659734,1.777701
0.670000,1.781027
0.680864,1.784215
0.690136,1.767869
0.700007,1.771488
0.709701,1.774966
0.720182,1.758884
0.729786,1.762825
0.740165,1.766656
0.750299,1.750827
0.759953,1.754991
0.770017,1.759006
0.779773,1.762920
0.790129,1.766753
0.799703,1.770493
0.809896,1.774093
0.819882,1.777480
0.829833,1.800269
0.839868,1.802906
0.849933,1.805428
0.860010,1.807881
0.869729,1.810300
0.879858,1.812627
0.890023,1.814834
0.899750,1.836511
0.909742,1.838059
0.919920,1.839470
0.929702,1.840855
0.939895,1.842256
0.949951,1.843600
0.959944,1.844854
0.969759,1.865711
0.979887,1.866399
0.990228,1.866918
0.999685,1.867489
1.009867,1.868103
1.020038,1.868660
1.029906,1.869059
1.040264,1.869513
1.049819,1.870023
1.060001,1.870503
1.069946,1.870941
1.079656,1.871351
1.090323,1.871682
1.100111,1.872054
1.109964,1.872519
1.119963,1.872924
1.129960,1.873241
1.140343,1.873421
1.150085,1.873925
1.160026,1.874545
1.169879,1.874931
1.180010,1.875340
1.190104,1.856103
1.199891,1.856972
1.210042,1.857888
1.220281,1.858723
1.229976,1.859561
1.239713,1.860336
1.249874,1.861089
1.260236,1.842365
1.269919,1.843650
1.280307,1.844896
1.289913,1.846114
1.300153,1.847303
1.309890,1.848474
1.319815,1.849608
1.329953,1.850696
1.339876,1.851744
1.349629,1.852805
1.359693,1.853810
1.369982,1.854740
1.380105,1.855667
1.389839,1.837101
1.399934,1.838627
1.409969,1.840101
1.419929,1.841465
1.429907,1.842792
1.439950,1.844099
1.450176,1.845367
1.459810,1.846626
1.469903,1.847854
1.480247,1.849005
1.490374,1.850101
1.499924,1.851147
1.509823,1.852210
1.520116,1.853244
1.529742,1.854216
1.539961,1.855149
1.549986,1.856040
1.559762,1.837468
1.570019,1.838934
1.579906,1.840336
1.589846,1.841753
1.599851,1.843146
1.609899,1.844397
1.620305,1.845558
1.632758,1.846671
1.640129,1.847821
1.650459,1.849008
1.663915,1.850051
1.670018,1.851309
1.679563,1.852588
1.689731,1.853573
1.699820,1.854514
1.710013,1.855429
1.719971,1.856338
1.729839,1.857256
1.740217,1.858135
1.749841,1.858916
1.759946,1.859702
1.769855,1.860526
1.780053,1.861302
1.789872,1.862036
1.799938,1.862746
1.810126,1.843940
1.820151,1.845187
1.829874,1.846423
1.840046,1.847649
1.849902,1.848851
1.860109,1.849891
1.870253,1.850855
1.879810,1.851991
1.890173,1.853102
1.900025,1.854050
1.920096,1.874480
1.929931,1.874800
1.939825,1.855634
1.950301,1.856492
1.959946,1.857291
1.969868,1.858184
1.980360,1.859048
1.990255,1.859657
2.000077,1.860347
2.009751,1.861316
2.019892,1.862122
2.030075,1.862819
2.039896,1.863525
2.050088,1.844691
2.060185,1.845934
2.070068,1.847117
2.079760,1.848313
2.089853,1.849524
2.100280,1.850604
2.110084,1.851653
2.119511,1.852689
2.129821,1.853659
2.140041,1.835132
2.150191,1.836673
2.160047,1.838164
2.169680,1.839631
2.179928,1.841061
2.190097,1.842424
2.199915,1.843751
2.209680,1.845044
2.219877,1.846284
2.229635,1.847469
2.239770,1.848610
2.250093,1.849715
2.259871,1.850793
2.269810,1.851897
2.280014,1.852964
2.289803,1.853934
2.299692,1.854904
2.309911,1.836361
2.319819,1.837864
2.330095,1.839332
2.339855,1.840734
2.349610,1.842122
2.359981,1.843446
2.369701,1.844705
2.379921,1.845959
2.390225,1.847183
2.399920,1.848333
2.409996,1.849454
2.419735,1.850492
2.429893,1.851519
2.440094,1.852605
2.449868,1.853606
2.460109,1.854264
2.469819,1.855074
2.480216,1.836668
2.489885,1.838160
2.499963,1.839619
2.509698,1.841069
2.520024,1.842451
2.529903,1.843734
2.539853,1.845001
2.550140,1.846294
2.559850,1.847539
2.570123,1.848696
2.580146,1.849790
2.589945,1.850868
2.600312,1.851971
2.609623,1.853013
2.619983,1.853999
2.629785,1.854948
2.640068,1.855863
2.649952,1.837298
2.659901,1.838750
2.670042,1.840143
2.679608,1.841538
2.689860,1.842875
2.700135,1.844174
2.709859,1.845452
2.720176,1.846694
2.729877,1.847902
2.740064,1.849058
