Time,Output
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.000000
100.000000,0.019451
100.000000,0.057775
100.000000,0.075461
100.000000,0.092599
100.000000,0.128651
200.000000,0.163626
200.000000,0.197530
200.000000,0.249771
200.000000,0.300436
200.000000,0.349562
200.000000,0.397148
100.000000,0.443204
100.000000,0.487868
100.000000,0.531231
100.000000,0.592729
100.000000,0.652284
100.000000,0.729400
200.000000,0.843175
200.000000,0.992396
200.000000,1.175572
200.000000,1.353311
200.000000,1.525874
200.000000,1.712631
100.000000,1.893223
100.000000,2.048417
200.000000,2.195831
200.000000,2.341571
200.000000,2.466656
200.000000,2.584951
100.000000,2.719193
100.000000,2.868760
100.000000,3.013498
100.000000,3.173357
100.000000,3.328241
100.000000,3.477956
200.000000,3.623359
200.000000,3.764504
100.000000,3.920374
100.000000,4.071467
100.000000,4.217915
100.000000,4.359710
200.000000,4.497389
200.000000,4.625766
200.000000,4.730490
200.000000,4.817578
100.000000,4.901875
100.000000,5.003157
200.000000,5.101441
200.000000,5.177044
100.000000,5.265139
100.000000,5.350655
200.000000,5.418455
200.000000,5.484242
100.000000,5.548084
100.000000,5.629044
100.000000,5.707731
100.000000,5.764649
100.000000,5.819584
100.000000,5.872942
200.000000,5.944060
200.000000,6.012987
100.000000,6.060349
100.000000,6.125764
100.000000,6.208759
100.000000,6.269213
100.000000,6.308537
100.000000,6.347063
100.000000,6.384017
100.000000,6.400155
200.000000,6.415984
200.000000,6.451048
100.000000,6.484930
100.000000,6.536814
200.000000,6.587343
200.000000,6.616869
100.000000,6.641649
100.000000,6.649703
200.000000,6.660978
200.000000,6.668767
200.000000,6.656780
200.000000,6.664587
200.000000,6.691912
200.000000,6.718237
100.000000,6.724252
100.000000,6.749708
100.000000,6.793482
100.000000,6.816542
100.000000,6.839160
100.000000,6.880291
100.000000,6.920276
100.000000,6.959026
200.000000,7.015997
200.000000,7.070921
100.000000,7.123959
100.000000,7.176161
200.000000,7.207405
200.000000,7.237184
200.000000,7.265856
200.000000,7.274294
100.000000,7.282754
100.000000,7.290546
200.000000,7.278763
200.000000,7.267748
100.000000,7.276070
100.000000,7.284274
200.000000,7.292145
200.000000,7.299705
100.000000,7.307343
100.000000,7.333935
200.000000,7.359713
200.000000,7.384953
200.000000,7.428864
200.000000,7.451667
200.000000,7.473784
200.000000,7.514823
200.000000,7.535140
200.000000,7.554731
200.000000,7.573720
200.000000,7.592134
100.000000,7.609888
100.000000,7.627157
200.000000,7.663993
200.000000,7.699649
100.000000,7.733640
100.000000,7.766666
100.000000,7.798519
100.000000,7.829294
100.000000,7.859509
100.000000,7.888763
100.000000,7.936399
100.000000,7.982572
100.000000,8.007863
100.000000,8.051780
100.000000,8.094151
100.000000,8.115475
100.000000,8.136198
100.000000,8.137146
100.000000,8.138224
100.000000,8.139145
200.000000,8.120516
200.000000,8.102695
100.000000,8.085408
100.000000,8.049148
200.000000,8.014071
200.000000,7.979840
100.000000,7.946500
100.000000,7.914392
200.000000,7.863897
200.000000,7.814997
100.000000,7.748060
100.000000,7.702622
200.000000,7.678131
200.000000,7.634933
100.000000,7.612456
100.000000,7.610202
200.000000,7.608068
200.000000,7.606058
100.000000,7.604028
100.000000,7.621587
100.000000,7.638054
100.000000,7.634655
100.000000,7.632295
100.000000,7.649326
100.000000,7.665362
100.000000,7.661503
200.000000,7.677431
200.000000,7.691118
100.000000,7.706182
100.000000,7.722355
200.000000,7.736218
200.000000,7.749265
200.000000,7.742688
200.000000,7.736727
200.000000,7.730704
200.000000,7.705260
200.000000,7.680650
200.000000,7.676217
100.000000,7.652633
100.000000,7.630150
100.000000,7.627391
100.000000,7.624615
100.000000,7.622147
100.000000,7.639279
200.000000,7.675308
200.000000,7.710097
100.000000,7.744015
100.000000,7.776811
200.000000,7.788644
200.000000,7.800559
200.000000,7.812289
200.000000,7.803791
100.000000,7.795629
100.000000,7.807218
200.000000,7.838055
200.000000,7.848299
200.000000,7.838730
200.000000,7.828766
200.000000,7.839668
200.000000,7.868842
100.000000,7.894769
100.000000,7.924461
100.000000,7.937175
100.000000,7.931803
200.000000,7.956473
200.000000,7.980314
200.000000,7.990736
200.000000,8.014783
100.000000,8.036332
100.000000,8.077617
200.000000,8.119439
200.000000,8.140459
100.000000,8.160741
100.000000,8.180430
100.000000,8.199570
100.000000,8.217983
200.000000,8.235807
200.000000,8.253317
100.000000,8.270184
100.000000,8.286547
200.000000,8.302377
200.000000,8.317560
100.000000,8.332552
100.000000,8.347072
100.000000,8.360810
100.000000,8.374349
200.000000,8.368129
200.000000,8.361861
200.000000,8.355856
200.000000,8.349530
100.000000,8.343844
100.000000,8.338940
100.000000,8.334078
100.000000,8.309885
100.000000,8.286117
100.000000,8.262939
100.000000,8.240513
100.000000,8.238630
200.000000,8.236349
200.000000,8.233969
100.000000,8.251429
100.000000,8.248722
200.000000,8.226774
200.000000,8.224892
100.000000,8.223205
100.000000,8.182674
100.000000,8.143259
100.000000,8.105267
200.000000,8.068292
200.000000,8.032366
200.000000,7.997689
200.000000,7.983364
200.000000,7.969407
200.000000,7.956253
100.000000,7.963007
100.000000,7.969353
100.000000,7.956090
100.000000,7.943179
200.000000,7.931081
200.000000,7.938063
200.000000,7.964069
200.000000,7.990109
100.000000,8.007623
100.000000,8.024800
100.000000,8.029461
100.000000,8.033644
100.000000,8.057057
100.000000,8.060117
100.000000,8.044083
100.000000,8.045233
100.000000,8.068818
100.000000,8.075404
100.000000,8.078369
100.000000,8.100649
200.000000,8.122042
200.000000,8.123128
200.000000,8.124552
200.000000,8.126062
100.000000,8.088340
100.000000,8.051878
200.000000,8.036067
200.000000,8.001174
100.000000,7.947998
100.000000,7.896430
200.000000,7.846412
200.000000,7.817490
100.000000,7.808909
100.000000,7.800500
200.000000,7.808238
200.000000,7.798975
100.000000,7.774242
100.000000,7.786564
200.000000,7.798389
200.000000,7.790112
200.000000,7.801744
200.000000,7.813291
100.000000,7.824231
100.000000,7.834876
100.000000,7.845370
100.000000,7.855367
200.000000,7.845450
200.000000,7.853961
200.000000,7.863287
200.000000,7.854388
100.000000,7.864505
100.000000,7.893722
100.000000,7.921706
100.000000,7.948934
200.000000,7.955867
200.000000,7.942833
200.000000,7.930358
200.000000,7.937682
100.000000,7.963453
100.000000,7.989453
200.000000,8.015302
200.000000,8.039603
100.000000,8.043604
100.000000,8.043228
200.000000,8.062325
200.000000,8.065637
200.000000,8.068961
200.000000,8.091359
100.000000,8.113175
100.000000,8.134398
100.000000,8.154709
100.000000,8.174582
100.000000,8.193860
100.000000,8.193059
100.000000,8.192324
100.000000,8.211135
100.000000,8.229298
100.000000,8.246735
200.000000,8.283096
200.000000,8.318549
100.000000,8.314001
100.000000,8.309496
200.000000,8.324177
200.000000,8.318682
200.000000,8.294358
200.000000,8.271044
100.000000,8.248580
100.000000,8.225875
100.000000,8.204523
100.000000,8.184675
100.000000,8.165094
100.000000,8.146045
200.000000,8.107723
200.000000,8.070662
200.000000,8.073637
200.000000,8.096195
200.000000,8.098642
200.000000,8.100671
200.000000,8.102640
200.000000,8.085147
100.000000,8.068125
100.000000,8.032303
200.000000,7.995360
200.000000,7.980562
200.000000,7.988504
200.000000,8.013931
200.000000,8.038069
200.000000,8.061817
100.000000,8.084760
100.000000,8.106881
100.000000,8.147719
100.000000,8.168370
200.000000,8.168435
200.000000,8.206894
100.000000,8.244723
100.000000,8.261707
100.000000,8.278183
100.000000,8.313607
200.000000,8.367644
200.000000,8.400511
200.000000,8.412736
200.000000,8.424737
100.000000,8.436219
100.000000,8.447389
200.000000,8.457934
200.000000,8.448835
200.000000,8.440075
200.000000,8.450877
200.000000,8.442399
200.000000,8.433930
100.000000,8.445108
100.000000,8.436724
200.000000,8.428386
200.000000,8.439790
100.000000,8.448848
100.000000,8.457990
200.000000,8.468851
200.000000,8.478915
200.000000,8.488756
200.000000,8.498353
100.000000,8.526954
100.000000,8.554656
100.000000,8.562353
100.000000,8.569793
200.000000,8.596334
200.000000,8.621486
100.000000,8.626893
100.000000,8.632830
100.000000,8.638028
100.000000,8.642684
100.000000,8.667040
100.000000,8.690908
100.000000,8.694186
100.000000,8.697286
200.000000,8.698490
200.000000,8.701564
100.000000,8.706529
100.000000,8.709195
100.000000,8.711824
100.000000,8.694937
100.000000,8.678308
100.000000,8.662519
200.000000,8.627723
200.000000,8.594002
100.000000,8.541927
100.000000,8.491280
200.000000,8.481240
200.000000,8.471682
100.000000,8.423255
100.000000,8.376351
200.000000,8.350609
200.000000,8.306112
100.000000,8.262883
100.000000,8.221402
100.000000,8.181233
100.000000,8.161449
100.000000,8.142247
100.000000,8.143074
200.000000,8.143777
200.000000,8.124938
200.000000,8.126287
200.000000,8.127465
100.000000,8.128723
100.000000,8.130114
100.000000,8.129560
100.000000,8.130466
200.000000,8.113600
200.000000,8.095908
200.000000,8.059299
200.000000,8.023703
100.000000,8.028216
100.000000,8.032585
100.000000,8.036601
100.000000,8.040675
100.000000,8.044730
100.000000,8.048485
200.000000,8.032620
200.000000,8.017437
100.000000,8.002083
100.000000,7.987238
100.000000,7.992703
100.000000,8.017401
100.000000,8.022175
100.000000,8.026815
200.000000,8.031296
200.000000,8.015986
100.000000,8.001100
100.000000,7.986814
100.000000,7.992484
100.000000,7.997949
100.000000,8.001713
100.000000,8.006458
200.000000,7.993165
200.000000,7.959736
200.000000,7.927281
200.000000,7.915284
100.000000,7.903797
100.000000,7.892446
100.000000,7.861737
100.000000,7.832161
100.000000,7.823071
100.000000,7.794811
200.000000,7.748037
200.000000,7.722077
100.000000,7.716844
100.000000,7.730776
200.000000,7.743869
200.000000,7.756884
100.000000,7.769672
100.000000,7.762706
200.000000,7.755546
200.000000,7.748832
200.000000,7.723043
200.000000,7.697826
100.000000,7.693011
100.000000,7.707820
100.000000,7.741399
100.000000,7.754727
100.000000,7.748181
100.000000,7.761172
200.000000,7.773676
200.000000,7.785764
100.000000,7.816925
100.000000,7.847089
200.000000,7.876732
200.000000,7.905300
200.000000,7.913407
200.000000,7.921040
200.000000,7.928565
200.000000,7.935902
200.000000,7.942790
200.000000,7.930378
200.000000,7.918305
200.000000,7.906041
100.000000,7.913631
100.000000,7.940994
100.000000,7.963782
100.000000,7.987659
100.000000,8.017405
100.000000,8.044754
100.000000,8.075537
100.000000,8.104837
200.000000,8.145557
200.000000,8.197014
100.000000,8.227442
100.000000,8.264476
100.000000,8.280813
100.000000,8.296785
200.000000,8.293451
200.000000,8.270763
100.000000,8.267599
100.000000,8.244924
100.000000,8.242658
100.000000,8.240382
100.000000,8.218606
100.000000,8.197696
200.000000,8.177397
200.000000,8.157702
200.000000,8.118966
200.000000,8.083148
200.000000,8.087473
200.000000,8.089865
200.000000,8.072729
200.000000,8.056285
100.000000,8.040576
100.000000,8.005852
100.000000,7.971949
100.000000,7.958501
