Time,Output
0.000000,1.952878
0.004781,1.951517
0.008664,1.950207
0.009859,1.948933
0.014534,1.960104
0.015683,1.958638
0.019761,1.957167
0.021081,1.955688
0.026157,1.954311
0.027381,1.952969
0.031492,1.951654
0.032686,1.962826
0.037191,1.998605
0.038254,2.094450
0.048163,2.227158
0.058570,2.383641
0.065333,2.572928
0.077582,2.758320
0.087969,2.940030
0.098677,3.130983
0.109384,3.305471
0.116203,3.463598
0.126622,3.619023
0.142510,3.771099
0.149349,3.907984
0.158666,4.017406
0.165946,4.111960
0.176955,4.180038
0.187914,4.221708
0.198431,4.225193
0.205266,4.178854
0.215064,4.121001
0.226992,4.039411
0.238048,3.934533
0.248529,3.819323
0.255185,3.693950
0.265784,3.571037
0.277789,3.463066
0.288055,3.357120
0.298477,3.240786
0.305145,3.139286
0.315565,3.039841
0.326413,2.942345
0.337791,2.859196
0.348460,2.777706
0.355260,2.710254
0.365252,2.656591
0.376819,2.603990
0.388255,2.564866
0.398406,2.526517
0.404987,2.488968
0.415231,2.476957
0.426155,2.477603
0.438145,2.490739
0.448690,2.516052
0.455467,2.540904
0.465937,2.577666
0.476753,2.626120
0.487947,2.672853
0.498996,2.719528
0.505814,2.766056
0.515414,2.823229
0.526241,2.879361
0.538354,2.921855
0.549382,2.975888
0.560381,3.029023
0.566093,3.068582
0.576806,3.106049
0.587632,3.144111
0.599004,3.170241
0.609516,3.194094
0.616612,3.217845
0.627573,3.241550
0.637565,3.264230
0.648355,3.273588
0.656113,3.283254
0.665855,3.280651
0.676902,3.278393
0.687327,3.276312
0.698625,3.261232
0.705541,3.258871
0.715729,3.256546
0.726799,3.229396
0.737271,3.202768
0.748456,3.189145
0.758966,3.163322
0.765868,3.125569
0.776786,3.088590
0.787287,3.064752
0.798345,3.041378
0.805880,3.006047
0.815500,2.971420
0.826352,2.937471
0.837461,2.903946
0.848434,2.871334
0.855071,2.839623
0.865921,2.808284
0.876977,2.777532
0.888056,2.747412
0.898566,2.717915
0.905229,2.701443
0.915762,2.697734
0.926882,2.693844
0.938465,2.689938
0.949158,2.686705
0.959404,2.682953
0.966086,2.692392
0.976068,2.701612
0.995737,2.710741
1.000024,2.732862
1.005462,2.753430
1.015369,2.773586
1.026541,2.793354
1.037367,2.812706
1.048476,2.844262
1.058787,2.875065
1.065511,2.892681
1.076825,2.910071
1.088075,2.927089
1.098439,2.956256
1.104977,2.984842
1.115624,3.000391
1.126637,3.015608
1.138049,3.030480
1.148350,3.045160
1.155139,3.047156
1.165798,3.048972
1.176888,3.063128
1.188225,3.064673
1.198541,3.066270
1.205215,3.067782
1.216656,3.056809
1.227339,3.058461
1.238149,3.060106
1.248621,3.049331
1.258692,3.038736
1.270198,3.028299
1.277743,3.018070
1.287890,2.995642
1.298625,2.973631
1.304979,2.964526
1.315783,2.955560
1.326928,2.934336
1.338161,2.913638
1.348223,2.905691
1.355492,2.885336
1.366147,2.865320
1.376127,2.858522
1.387888,2.851983
1.398766,2.832858
1.404889,2.814108
1.415524,2.808174
1.426426,2.802346
1.442010,2.796618
1.448458,2.790967
1.458482,2.785446
1.464859,2.792566
1.476276,2.799497
1.487514,2.793834
1.498664,2.800716
1.505335,2.807444
1.515222,2.814088
1.526512,2.833022
1.537576,2.839150
1.548643,2.845237
1.560429,2.863485
1.566081,2.868859
1.576715,2.874331
1.587382,2.892096
1.598460,2.909487
1.605820,2.914118
1.615726,2.918560
1.626685,2.935472
1.637491,2.939606
1.653942,2.943585
1.660135,2.959975
1.666318,2.963594
1.677248,2.967115
1.687279,2.970541
1.698352,2.973972
1.705244,2.977332
1.715627,2.979078
1.726890,2.981895
1.738096,2.973686
1.748609,2.977020
1.754982,2.980338
1.766083,2.971084
1.776726,2.961998
1.787389,2.953153
1.798272,2.944450
1.805069,2.935895
1.815860,2.927545
1.826486,2.919360
1.837677,2.923724
1.848601,2.928016
1.855971,2.919816
1.865974,2.911780
1.876928,2.903901
1.887528,2.896175
1.898394,2.888627
1.905013,2.881184
1.915176,2.873887
1.927152,2.866717
1.937824,2.859731
1.948280,2.852936
1.954858,2.846219
1.965524,2.839618
1.977077,2.845470
1.999038,2.851190
2.004615,2.844216
2.009445,2.850357
2.015765,2.856682
2.026542,2.849911
2.038476,2.855735
2.048189,2.861453
2.055938,2.866960
2.066240,2.872377
2.076808,2.877737
2.088330,2.882958
2.098713,2.888100
2.108901,2.893148
2.119825,2.898047
2.126775,2.902885
2.137856,2.907607
2.148800,2.912240
2.158573,2.916783
2.166111,2.921226
2.177085,2.925595
2.187886,2.929862
2.198802,2.934046
2.205609,2.938158
2.216107,2.942175
2.227732,2.946073
2.237926,2.937533
2.248731,2.941558
2.255764,2.945497
2.265786,2.936994
2.277624,2.941066
2.287796,2.945062
2.298597,2.936508
2.308746,2.928123
2.315543,2.919910
2.326655,2.924221
2.338154,2.928451
2.348877,2.920308
2.358671,2.912291
2.369742,2.904379
2.376739,2.909128
2.387563,2.913704
2.398405,2.905761
2.405332,2.898016
2.419616,2.890411
2.426637,2.895442
2.438139,2.900297
2.448566,2.892603
2.458730,2.885113
2.469249,2.877771
2.476702,2.883126
2.487632,2.888368
2.498466,2.880888
2.505251,2.873521
2.516088,2.878814
2.526702,2.884037
2.538283,2.876673
2.548793,2.881913
2.559007,2.887089
2.569819,2.879709
2.576798,2.884908
2.587446,2.889978
2.598306,2.882508
2.605111,2.887688
2.616562,2.892759
2.626802,2.897654
2.638206,2.902494
2.648114,2.907248
2.655219,2.911865
2.666663,2.903979
2.680753,2.908680
2.687739,2.913276
2.698802,2.917842
2.705642,2.922192
2.715891,2.913860
2.726686,2.918602
2.738005,2.923355
2.749149,2.915253
2.755223,2.919737
2.765475,2.924085
2.776875,2.915983
2.787569,2.920471
2.798705,2.924835
2.808422,2.916693
2.816236,2.921157
2.827016,2.925504
2.838496,2.917333
2.848265,2.921828
2.855147,2.926166
2.866541,2.918088
2.880915,2.910093
2.887547,2.914566
2.898390,2.919065
2.905607,2.911074
2.916041,2.903242
2.926589,2.907956
2.938142,2.912569
2.948416,2.904634
2.955196,2.896890
2.977216,2.889330
2.997016,2.881891
3.001836,2.874680
3.010958,2.879940
3.020181,2.884979
3.026943,2.877620
3.037732,2.882818
3.048730,2.888012
3.058723,2.880610
3.066156,2.885711
3.077263,2.890820
3.088219,2.883363
3.098172,2.888510
3.105565,2.893499
3.116081,2.898424
3.126660,2.903270
3.138145,2.895510
3.148603,2.900438
3.155051,2.905270
3.166145,2.909957
3.177254,2.914514
3.187882,2.906628
3.198109,2.911290
3.205307,2.915764
3.215625,2.920223
3.226065,2.924579
3.237339,2.916385
3.249398,2.920914
3.260977,2.925390
3.270070,2.929645
3.276931,2.933822
3.287699,2.925494
3.298609,2.929804
3.305386,2.934022
3.316000,2.925706
3.326589,2.917549
3.337987,2.921934
3.348233,2.926275
3.359277,2.918122
3.366140,2.922582
3.376642,2.926893
3.387455,2.918670
3.398748,2.910726
3.408705,2.915326
3.415929,2.919796
3.426573,2.911729
3.438175,2.903794
3.448370,2.896084
3.455498,2.901009
3.466312,2.905804
3.476962,2.898084
3.487851,2.890450
3.498369,2.895361
3.505255,2.900263
3.516751,2.892617
3.527792,2.897543
3.537846,2.902343
3.548046,2.894714
3.555346,2.887216
3.565831,2.892199
3.576538,2.897160
3.588319,2.889554
3.599185,2.894512
3.608537,2.899420
3.619573,2.891808
3.626541,2.896692
3.638041,2.901589
3.648927,2.906327
3.658784,2.910864
3.666089,2.903003
3.677320,2.907754
3.688138,2.912415
3.698823,2.904536
3.705107,2.909186
3.715316,2.913777
3.726416,2.905893
3.738539,2.910458
3.748366,2.914283
3.755025,2.919196
3.766674,2.924690
3.776223,2.916549
3.787372,2.920841
3.798569,2.925212
3.805376,2.917166
3.815919,2.921607
3.826700,2.925962
3.837889,2.917762
3.848494,2.909769
3.855162,2.914423
3.865598,2.918949
3.876595,2.910932
3.887643,2.915478
3.898487,2.919923
3.905015,2.911884
3.915728,2.903973
3.926268,2.908725
3.938364,2.913391
3.948541,2.905458
3.955151,2.910045
3.964928,2.914616
3.976390,2.906833
3.995493,2.898952
3.999912,2.903669
4.005080,2.908566
4.016218,2.900789
4.026230,2.905487
4.038085,2.910148
4.048465,2.902274
4.054975,2.894573
4.065837,2.899486
4.077052,2.904240
4.087329,2.896514
4.098654,2.901397
4.104873,2.906119
4.115962,2.898345
4.126122,2.903192
4.137293,2.907902
4.148509,2.900100
4.155174,2.904900
4.166173,2.909600
4.176013,2.901764
4.187238,2.906502
4.198605,2.911199
4.205128,2.915771
4.215832,2.920136
4.226930,2.912090
4.243017,2.916709
4.249620,2.921159
4.259223,2.912404
4.265570,2.917225
4.276712,2.922708
4.287690,2.914617
4.304058,2.918955
4.310444,2.923317
4.316820,2.915171
4.327043,2.919783
4.338412,2.924187
4.349146,2.915695
4.360794,2.920545
4.370493,2.925236
4.377671,2.916436
4.388304,2.908754
4.399072,2.914100
4.410741,2.918573
4.420684,2.910559
4.427267,2.902715
4.438601,2.907436
4.449838,2.912093
4.460497,2.904073
4.470415,2.896281
4.476833,2.901315
4.487651,2.906166
4.498831,2.898385
4.509253,2.903171
4.515736,2.907871
4.526417,2.900095
4.537822,2.904899
4.548505,2.909598
4.559714,2.901750
4.565508,2.906474
4.576863,2.911130
4.587726,2.903262
4.598444,2.907999
4.605104,2.912661
4.615608,2.904755
4.626199,2.909417
4.638205,2.913444
4.648307,2.905576
4.654916,2.910879
4.666312,2.915470
4.676306,2.907438
4.687215,2.912081
4.698765,2.916734
4.705096,2.921211
4.716171,2.925548
4.726349,2.917326
4.737665,2.921817
4.748376,2.926259
4.755009,2.918089
4.765921,2.922495
4.776150,2.926810
4.788355,2.918655
4.798594,2.910661
4.808631,2.915194
4.816307,2.919668
4.826959,2.911641
4.837273,2.916047
4.849489,2.920492
4.858877,2.912546
4.865624,2.917089
4.877640,2.921474
4.887975,2.913401
4.898212,2.917933
4.905069,2.922290
4.920582,2.914279
4.926829,2.906304
4.937662,2.910881
4.948793,2.915534
4.955181,2.907620
4.966162,2.912295
4.977053,2.916857
4.996654,2.908863
5.000944,2.913145
5.009264,2.917565
5.015416,2.909772
5.026102,2.901936
5.038475,2.906679
5.048355,2.911325
5.055079,2.903459
5.065754,2.908289
5.076768,2.912964
5.087840,2.904967
5.098205,2.909785
5.110136,2.914409
5.115955,2.906364
5.126388,2.911087
5.138257,2.915684
5.149213,2.907722
5.158654,2.912344
5.165282,2.916972
5.176480,2.908523
5.187405,2.912352
5.198547,2.917326
5.208779,2.909958
5.215199,2.914470
5.226208,2.918982
5.237348,2.911034
5.248315,2.915582
5.259340,2.920030
5.265537,2.911991
5.276387,2.915447
5.287369,2.919569
5.298217,2.912340
5.305053,2.916897
5.316068,2.921302
5.326302,2.913229
5.337674,2.917700
5.348301,2.922103
5.354832,2.914031
5.366160,2.918558
5.376943,2.923016
5.387349,2.914921
5.398514,2.919403
5.405608,2.923856
5.415546,2.915716
5.426668,2.920164
5.437676,2.924537
5.448817,2.916355
5.455790,2.908425
5.465252,2.913100
5.477135,2.917670
5.488092,2.909645
5.498839,2.914263
5.509801,2.918801
5.515642,2.910749
5.526126,2.915319
5.538265,2.919770
5.549806,2.911744
5.560188,2.916319
5.566630,2.920674
5.577208,2.912595
5.587838,2.917218
5.604095,2.921717
5.609744,2.913579
5.615922,2.905609
5.626882,2.910364
5.637986,2.914986
5.648703,2.907017
5.654671,2.911604
5.665061,2.916077
5.676106,2.908173
5.687735,2.912894
5.698386,2.917395
5.705127,2.909390
5.716819,2.914019
5.727176,2.918537
5.738129,2.910532
5.748983,2.915089
5.754831,2.919555
5.766232,2.911526
5.776648,2.916057
5.787368,2.920538
5.798569,2.925043
5.805114,2.929359
5.815368,2.921057
5.826349,2.925445
5.837800,2.929718
5.848376,2.921452
5.855651,2.925927
5.865191,2.930316
5.877228,2.921993
5.893659,2.923026
5.898598,2.922317
5.905311,2.912397
5.916243,2.904501
5.927116,2.909203
5.937941,2.912673
5.948241,2.904857
5.955133,2.910732
5.966305,2.915340
5.976855,2.907427
5.995976,2.912074
6.000555,2.916595
6.008891,2.908599
6.016354,2.913264
6.026898,2.917806
6.037404,2.909745
6.048845,2.914371
6.055374,2.918949
6.065692,2.910904
6.077314,2.915513
6.087605,2.920014
6.098478,2.911940
6.108644,2.916525
6.116108,2.921013
6.127243,2.925351
6.138126,2.929619
6.148443,2.921408
6.155618,2.925722
6.165374,2.930063
6.176540,2.921835
6.187492,2.926099
6.198388,2.930321
6.205148,2.921872
6.215022,2.926410
6.226452,2.931006
6.238228,2.922587
6.248626,2.927007
6.258541,2.931500
6.266080,2.923227
6.276249,2.915048
6.287660,2.919526
6.298715,2.923933
6.305606,2.915821
6.316361,2.920158
6.326241,2.924457
6.338056,2.916433
6.348646,2.908470
6.354990,2.913120
6.365296,2.917668
6.376806,2.909637
6.387426,2.914041
6.398573,2.918541
6.405372,2.910670
6.415487,2.915295
6.426499,2.919803
6.437366,2.911543
6.448460,2.916194
6.455222,2.920944
6.466015,2.912865
6.477142,2.917377
6.487182,2.921814
6.498457,2.913736
6.505559,2.918273
6.515901,2.922759
6.526892,2.914675
6.537618,2.919136
6.548701,2.923521
6.555402,2.915407
6.565581,2.919842
6.577068,2.924195
6.588353,2.916060
6.599314,2.920572
6.604852,2.924993
6.615066,2.929296
6.626421,2.933569
6.637765,2.925223
6.648572,2.929510
6.659654,2.933234
6.666182,2.924919
6.677516,2.928099
6.688311,2.931833
6.698335,2.924745
6.705439,2.929120
6.715163,2.933361
6.726715,2.925046
6.737336,2.929324
6.748428,2.933547
6.758401,2.925247
6.765195,2.917085
6.777156,2.921558
6.787601,2.925896
6.798417,2.917697
6.805090,2.922132
6.816101,2.926357
6.827151,2.918199
6.838198,2.910316
6.848983,2.914887
6.858454,2.919361
6.865753,2.911343
6.877495,2.915883
6.888086,2.920326
6.898489,2.912317
6.904983,2.916876
6.919729,2.921320
6.927753,2.913238
6.937553,2.917728
6.948770,2.922139
6.955273,2.914051
6.965858,2.918623
6.976458,2.923097
6.997663,2.914962
7.002691,2.919349
7.013002,2.923739
7.022031,2.915589
7.027251,2.920067
7.037385,2.924570
7.049615,2.916461
7.059373,2.920956
7.066150,2.925329
7.077271,2.917161
7.087782,2.921649
7.097808,2.926022
7.105251,2.917858
7.120176,2.922280
7.127484,2.926577
7.138291,2.930792
7.148853,2.934956
7.158521,2.926675
7.165893,2.930964
7.177263,2.935111
7.187978,2.926719
7.198361,2.930941
7.204989,2.935106
7.216250,2.926796
7.226979,2.931065
7.237676,2.935234
7.248521,2.926923
7.254868,2.918731
7.269590,2.923296
7.276823,2.927701
7.287687,2.919383
7.298538,2.923799
7.309354,2.928120
7.316023,2.919879
7.326166,2.924295
7.337379,2.928574
7.348531,2.920361
7.358894,2.924803
7.365175,2.929102
7.376322,2.920884
7.387330,2.925243
7.398902,2.929505
7.405587,2.921263
7.415982,2.925629
7.426793,2.929926
7.437741,2.921688
7.448488,2.913629
7.458672,2.918133
7.465632,2.922555
7.480875,2.914372
7.488195,2.918904
7.499159,2.923471
7.505490,2.915373
7.520000,2.919815
7.527005,2.924168
7.537514,2.916026
7.548573,2.920501
7.558910,2.924927
7.565722,2.916795
7.576999,2.921299
7.588044,2.925680
7.598399,2.917491
7.609172,2.921883
7.619641,2.926188
7.626887,2.918068
7.637742,2.922522
7.648959,2.926838
7.655489,2.918659
7.666571,2.923105
7.676620,2.927320
7.688364,2.919101
7.699276,2.923646
7.708347,2.928013
7.719560,2.932163
7.727026,2.936251
7.737657,2.927935
7.749576,2.932171
7.755232,2.936306
7.765921,2.927899
7.776965,2.919702
7.787403,2.924144
7.798750,2.928457
7.808959,2.920244
7.816025,2.924626
7.826873,2.928924
7.838060,2.920699
7.849029,2.925100
7.855179,2.929381
7.866015,2.921135
7.876771,2.925375
7.887717,2.929592
7.898786,2.921452
7.908883,2.925805
7.915746,2.930051
7.926550,2.921744
7.937265,2.926128
7.948577,2.930595
7.954974,2.922359
7.965694,2.926595
7.976346,2.930854
7.995418,2.922605
7.999680,2.926944
8.005572,2.931213
8.016048,2.922955
8.027308,2.927264
8.037865,2.931492
8.047557,2.923211
8.054905,2.927548
8.066203,2.931814
8.076397,2.923534
8.094037,2.927838
8.100289,2.931683
8.119249,2.925586
8.123481,2.920811
8.128518,2.926612
8.137958,2.931442
8.148440,2.923160
8.155530,2.927527
8.165760,2.931773
8.176890,2.923499
8.187431,2.927825
8.198296,2.932046
8.205287,2.923834
8.215805,2.928140
8.226200,2.932244
8.237703,2.923898
8.248712,2.928251
8.259443,2.932496
8.265713,2.923812
8.276381,2.915746
8.287580,2.920622
8.299178,2.924536
8.305981,2.916406
8.320374,2.921010
8.327161,2.925176
8.337731,2.917242
8.348090,2.921805
8.359138,2.926176
8.366341,2.918023
8.377114,2.922476
8.387556,2.926815
8.399052,2.918624
8.408975,2.923026
8.415979,2.927315
8.426558,2.931566
8.437521,2.935759
8.448839,2.927439
8.459295,2.931709
8.466824,2.935841
8.477464,2.927425
8.487538,2.931685
8.498929,2.935920
8.505210,2.927573
8.515797,2.931805
8.526347,2.935930
8.537773,2.927535
8.548559,2.931806
8.555195,2.935990
8.565972,2.927620
8.576229,2.931899
8.588007,2.936077
8.598812,2.927718
8.605107,2.931904
8.615791,2.936040
8.626309,2.927723
8.638158,2.931747
8.648679,2.935841
8.655226,2.927623
8.666126,2.919415
8.676523,2.923760
8.687410,2.928034
8.698575,2.919843
8.705337,2.924288
8.715732,2.928622
8.726789,2.920383
8.737957,2.924766
8.749016,2.929075
8.759740,2.920821
8.765689,2.925189
8.776344,2.929516
8.787789,2.921242
8.798990,2.925632
8.809337,2.929985
8.819946,2.921719
8.826883,2.926057
8.838010,2.930373
8.848816,2.922147
8.858984,2.926444
8.866258,2.930692
8.876331,2.922376
8.887501,2.926728
8.898835,2.931080
8.905282,2.922935
8.915636,2.927113
8.926548,2.931187
8.938118,2.935430
8.948710,2.939510
8.955696,2.931058
8.965820,2.934978
8.976273,2.939042
8.995392,2.930807
8.999801,2.934966
9.008310,2.939024
9.015167,2.930604
9.026463,2.922376
9.037921,2.926732
9.049007,2.930992
9.058788,2.922697
9.066081,2.927068
9.077728,2.931339
9.087219,2.923046
9.098413,2.927413
9.104880,2.931708
9.114929,2.923434
9.126482,2.927727
9.137563,2.931932
9.148894,2.923671
9.155178,2.927975
9.165902,2.932111
9.176785,2.923847
9.188287,2.928198
9.199327,2.932406
9.209945,2.924110
9.215931,2.928442
9.226676,2.932692
9.237705,2.924364
9.248905,2.928684
9.255370,2.932927
9.265661,2.924571
9.276343,2.928908
9.287486,2.933157
9.299500,2.924789
9.310129,2.929128
9.319455,2.933362
9.326913,2.925069
9.337859,2.929425
9.349781,2.933606
9.359549,2.925271
9.366336,2.929598
9.382747,2.933816
9.392815,2.925467
9.399533,2.929746
9.410481,2.933932
9.421700,2.925569
9.433567,2.929904
9.439867,2.934173
9.451408,2.938368
9.463351,2.942410
9.473758,2.933812
9.479304,2.925468
9.489855,2.929822
9.500401,2.934061
9.513213,2.938061
9.523744,2.941998
9.529505,2.933538
9.540329,2.925315
9.551511,2.929596
9.563052,2.933652
9.575758,2.925398
9.581769,2.929299
9.588407,2.933298
9.600159,2.925346
9.610733,2.929540
9.621326,2.933615
9.631504,2.925394
9.643227,2.929768
9.648402,2.933954
9.655452,2.925625
9.666341,2.929899
9.676883,2.934067
9.687851,2.925734
9.699035,2.929996
9.705214,2.934145
9.715516,2.925843
9.726713,2.930153
9.737636,2.934343
9.748761,2.926067
9.759180,2.930280
9.766263,2.934378
9.776826,2.926047
9.787800,2.930244
9.798811,2.934437
9.809173,2.926192
9.816014,2.930371
9.826816,2.934505
9.837397,2.926215
9.849000,2.930503
9.859560,2.934688
9.866047,2.926320
9.877303,2.930641
9.888067,2.934984
9.899209,2.926629
9.905191,2.930753
