Time,Output
0.000000,1.951641
0.004357,1.950343
0.008751,1.949053
0.013129,1.960204
0.014374,1.958693
0.018886,1.957244
0.020113,1.955829
0.024228,1.954446
0.025661,1.953079
0.030127,1.951655
0.031076,1.950292
0.035169,1.949173
0.036410,1.997546
0.041592,2.094871
0.048183,2.227481
0.059320,2.394663
0.070154,2.571307
0.080505,2.756548
0.092026,2.938491
0.102081,3.116928
0.112995,3.291483
0.119660,3.449071
0.131073,3.604728
0.141331,3.745924
0.148311,3.871287
0.158945,3.993796
0.175755,4.088505
0.181869,4.156914
0.191541,4.198975
0.198744,4.202905
0.208988,4.181908
0.220026,4.123986
0.240824,4.029886
0.246607,3.925204
0.252174,3.822625
0.258558,3.709580
0.269831,3.598750
0.281276,3.490182
0.292371,3.371309
0.302795,3.267227
0.309155,3.177661
0.320127,3.077443
0.330657,2.979209
0.341578,2.907780
0.353540,2.837765
0.360016,2.769137
0.369801,2.714308
0.380925,2.660564
0.391869,2.620101
0.398707,2.580439
0.408462,2.541806
0.421014,2.528837
0.430636,2.515599
0.441379,2.503678
0.451597,2.517334
0.458825,2.542222
0.470014,2.566553
0.481227,2.590360
0.491652,2.626107
0.498857,2.673502
0.508843,2.720130
0.519913,2.765891
0.530510,2.810657
0.541426,2.854501
0.548379,2.897564
0.558633,2.939439
0.570205,2.980401
0.581003,3.021172
0.591364,3.061282
0.598689,3.087785
0.608794,3.113681
0.619850,3.139174
0.631124,3.164027
0.642196,3.188431
0.651937,3.200040
0.659465,3.211343
0.669853,3.222401
0.682003,3.220823
0.691875,3.219261
0.701551,3.217668
0.709270,3.216156
0.720341,3.214695
0.731153,3.200815
0.741690,3.187212
0.748284,3.161435
0.758982,3.136166
0.769575,3.123826
0.780946,3.099297
0.791651,3.075223
0.798900,3.051637
0.808465,3.016111
0.819805,2.981290
0.830933,2.947176
0.841366,2.913693
0.848379,2.892259
0.858504,2.871853
0.870145,2.840448
0.880991,2.809091
0.891293,2.790784
0.898370,2.772822
0.908603,2.742798
0.919785,2.725816
0.931502,2.721629
0.946718,2.717530
0.951680,2.713493
0.962491,2.709531
0.969961,2.705589
0.981057,2.714237
0.998962,2.722803
1.003271,2.731092
1.008821,2.751623
1.020014,2.771842
1.031303,2.791627
1.041610,2.810974
1.051574,2.829921
1.058903,2.848571
1.069735,2.866866
1.081019,2.884816
1.091845,2.902310
1.098306,2.919406
1.108889,2.936250
1.119798,2.952753
1.130601,2.968929
1.141389,2.984817
1.148970,3.000402
1.158329,3.015668
1.169854,3.018193
1.181051,3.020618
1.191476,3.035501
1.201836,3.037625
1.208927,3.039712
1.220353,3.041759
1.230467,3.043698
1.241428,3.045618
1.252247,3.035105
1.258768,3.024775
1.269951,3.014615
1.281110,3.004676
1.291308,2.994992
1.298839,2.985475
1.309087,2.976102
1.319680,2.966924
1.330854,2.957962
1.341391,2.936749
1.348334,2.915911
1.358689,2.907945
1.370033,2.900146
1.381008,2.880043
1.396747,2.860365
1.402905,2.853483
1.409484,2.846736
1.425202,2.840075
1.431476,2.833515
1.442181,2.827258
1.448356,2.821146
1.458542,2.815057
1.470502,2.809091
1.482260,2.803226
1.492788,2.808370
1.502108,2.814557
1.509098,2.809702
1.519483,2.816255
1.531022,2.822671
1.542307,2.829017
1.553005,2.835317
1.563630,2.841325
1.569826,2.859260
1.581459,2.864808
1.592424,2.870555
1.601958,2.888338
1.612503,2.893378
1.620360,2.898131
1.630968,2.915370
1.641545,2.920035
1.648772,2.924430
1.659168,2.941179
1.669857,2.945163
1.681257,2.948993
1.691632,2.952803
1.698251,2.956608
1.709307,2.971645
1.719354,2.974643
1.730408,2.966249
1.741356,2.969759
1.748306,2.973146
1.758951,2.964038
1.770161,2.967525
1.780950,2.970969
1.792361,2.961952
1.802396,2.953021
1.808467,2.944300
1.819971,2.935832
1.831088,2.939911
1.841274,2.943854
1.852327,2.935333
1.858309,2.927018
1.869801,2.918868
1.881301,2.910810
1.891395,2.902933
1.898288,2.895239
1.908538,2.887715
1.919765,2.880305
1.931045,2.872962
1.941854,2.865837
1.952274,2.858904
1.962931,2.852076
1.969827,2.857781
1.981032,2.863368
1.999857,2.856481
2.004346,2.849682
2.013329,2.855445
2.020462,2.861193
2.031217,2.854332
2.041507,2.860011
2.051636,2.865605
2.059159,2.871058
2.069644,2.876449
2.080780,2.869255
2.092200,2.874617
2.103182,2.879848
2.108723,2.885033
2.119942,2.890232
2.131353,2.895232
2.141908,2.900140
2.148536,2.904592
2.159213,2.909169
2.169781,2.914002
2.181854,2.918458
2.196918,2.922910
2.199025,2.927308
2.208782,2.931540
