Time,Output
0.000000,1.613511
0.005090,1.618930
0.009184,1.624228
0.014174,1.629374
0.015244,1.634426
0.019204,1.626975
0.020459,1.632070
0.025330,1.637031
0.026289,1.629490
0.030133,1.622091
0.031343,1.627168
0.035993,1.632249
0.036942,1.674191
0.040906,1.778020
0.047535,1.905193
0.054780,2.066359
0.064523,2.249178
0.076020,2.441265
0.087160,2.629374
0.093405,2.801187
0.103479,2.970033
0.114840,3.135178
0.126333,3.296727
0.136802,3.442957
0.143153,3.561475
0.153591,3.665137
0.164912,3.754325
0.176367,3.829077
0.186527,3.877543
0.197176,3.875556
0.203988,3.836186
0.215265,3.785018
0.226297,3.709885
0.236726,3.611444
0.243478,3.502612
0.253550,3.395946
0.265229,3.291382
0.276178,3.176462
0.287145,3.076254
0.293235,2.978028
0.304103,2.881754
0.314882,2.787366
0.326118,2.694898
0.341555,2.616959
0.348722,2.552955
0.358402,2.489956
0.365054,2.428205
0.376600,2.380126
0.386535,2.345450
0.397554,2.323898
0.403596,2.302760
0.415394,2.282054
0.426378,2.261759
0.437362,2.254259
0.443379,2.259385
0.453810,2.276871
0.465093,2.293919
0.476195,2.310711
0.486874,2.339768
0.497838,2.368077
0.504214,2.395797
0.515158,2.423052
0.526280,2.449690
0.536402,2.488299
0.543890,2.526105
0.558614,2.550734
0.569659,2.587326
0.588151,2.635254
0.594159,2.657500
0.599161,2.667320
0.608415,2.689070
0.619340,2.710449
0.631251,2.731589
0.643818,2.752132
0.649260,2.772266
0.660248,2.779619
0.672039,2.786856
0.683518,2.793535
0.690104,2.787892
0.702420,2.782795
0.708507,2.777494
0.720662,2.772242
0.732222,2.767157
0.738185,2.762175
0.749890,2.744844
0.760243,2.727802
0.770814,2.711091
0.781254,2.694759
0.788047,2.678756
0.798507,2.650609
0.809374,2.623006
0.819541,2.608219
0.830693,2.593809
0.842679,2.567421
0.848224,2.541475
0.854200,2.527132
0.865162,2.513822
0.876240,2.489682
0.887331,2.465141
0.897793,2.453601
0.903949,2.442513
0.915115,2.431585
0.925928,2.432086
0.936850,2.420758
0.947113,2.410763
0.954298,2.412758
0.965344,2.414779
0.976371,2.429202
0.996640,2.443269
0.998299,2.444621
1.004403,2.458335
1.014979,2.471846
1.030281,2.485230
1.036688,2.498286
1.043158,2.510985
1.053898,2.523421
1.065165,2.535726
1.076443,2.547798
1.087313,2.559505
1.097194,2.583566
1.104005,2.594320
1.115028,2.605255
1.126328,2.616420
1.137274,2.626846
1.143466,2.637069
1.153673,2.634623
1.165343,2.644675
1.176226,2.654536
1.187567,2.651788
1.197439,2.649028
1.203476,2.646286
1.215020,2.643664
1.226444,2.641078
1.236613,2.638565
1.243262,2.636115
1.253034,2.633710
1.264937,2.631349
1.276771,2.628949
1.286978,2.626631
1.293126,2.611994
1.303881,2.597612
1.314955,2.595938
1.326408,2.581849
1.336958,2.568042
1.343107,2.566985
1.353794,2.553484
1.364898,2.540285
1.376285,2.539754
1.386660,2.539236
1.396729,2.526345
1.403969,2.513648
1.414471,2.513739
1.426320,2.513721
1.437281,2.513727
1.443419,2.501341
1.453542,2.489101
1.464862,2.489601
1.476274,2.490065
1.487183,2.490511
1.493406,2.491083
1.503578,2.503909
1.515301,2.516382
1.526947,2.516310
1.537442,2.516172
1.547476,2.516052
1.554115,2.528568
1.568762,2.540845
1.575877,2.540275
1.586914,2.539741
1.593254,2.551656
1.603988,2.563306
1.615473,2.562324
1.626567,2.573787
1.636868,2.585026
1.648465,2.583622
1.654118,2.582243
1.664917,2.580911
1.680154,2.592015
1.687408,2.602871
1.697354,2.601110
1.707944,2.599413
1.718684,2.597714
1.726781,2.596021
1.737599,2.594374
1.748786,2.592743
1.760086,2.590953
1.771069,2.589465
1.780821,2.588202
1.786744,2.586723
1.793553,2.585267
1.804284,2.583859
1.814762,2.582419
1.826448,2.581024
1.837278,2.579784
1.843271,2.578500
1.853822,2.577158
1.869242,2.563452
1.876725,2.549946
