Time,Output
0.000000,1.270418
0.009940,1.269956
0.020308,1.269575
0.030183,1.269189
0.040465,1.268762
0.049877,1.268430
0.060382,1.268097
0.070071,1.267687
0.079832,1.267337
0.090816,1.267033
0.100389,1.266615
0.110242,1.266331
0.120138,1.266181
0.129766,1.285309
0.139902,1.323294
0.149811,1.360200
0.160030,1.415389
0.170254,1.507840
0.180160,1.597504
0.190285,1.684361
0.200211,1.787952
0.210034,1.868853
0.219904,1.947282
0.230233,2.042760
0.240105,2.135259
0.250087,2.224920
0.260289,2.311725
0.270490,2.376363
0.280000,2.439157
0.290000,2.499785
0.300350,2.558474
0.310548,2.615619
0.320268,2.651539
0.330197,2.686205
0.339991,2.700420
0.350368,2.713966
0.360542,2.746443
0.370068,2.758726
0.380339,2.751121
0.389979,2.743725
0.399849,2.736595
0.409846,2.729698
0.420326,2.722961
0.430173,2.696952
0.440426,2.671772
0.449980,2.647340
0.460301,2.623681
0.470092,2.600844
0.480353,2.559245
0.489934,2.518863
0.500948,2.479729
0.510085,2.441792
0.520210,2.385551
0.530174,2.331110
0.540282,2.297835
0.550354,2.265553
0.560009,2.214793
0.570118,2.165630
0.580153,2.137532
0.590653,2.110214
0.600172,2.064202
0.610224,2.019680
0.620295,1.996024
0.630227,1.973077
0.641757,1.950854
0.649931,1.929392
0.660202,1.908568
0.671088,1.903849
0.680562,1.901783
0.690040,1.903745
0.700352,1.903131
0.710358,1.902512
0.720248,1.921428
0.730046,1.939774
0.740718,1.957412
0.750508,1.974696
0.760721,1.991575
0.770007,2.007847
0.779926,2.023511
0.790393,2.038608
0.800045,2.053316
0.810183,2.067575
0.820305,2.081357
0.830507,2.114233
0.840015,2.146109
0.849812,2.157474
0.860087,2.168446
0.870042,2.179167
0.880290,2.209085
0.889959,2.237947
0.900350,2.246556
0.910200,2.254884
0.919956,2.262770
0.930212,2.270518
0.939989,2.278106
0.950263,2.285364
0.959988,2.292372
0.969867,2.299246
0.980075,2.305900
0.990200,2.312228
0.999909,2.298917
1.009900,2.286129
1.019978,2.293223
1.030328,2.280635
1.040246,2.268344
1.050144,2.275845
1.060482,2.263704
1.070568,2.251945
1.080026,2.240562
1.090143,2.229517
1.100395,2.218847
1.109615,2.208550
1.119906,2.198423
1.129774,2.188707
1.140471,2.179422
1.150357,2.170358
1.160188,2.161563
1.170029,2.152936
1.179716,2.144598
1.190012,2.136552
1.200053,2.128740
1.210060,2.121242
1.220150,2.113942
1.230217,2.106766
1.240077,2.099865
1.250209,2.093258
1.260172,2.106431
1.270315,2.099602
1.280441,2.092868
1.290280,2.105929
1.300513,2.099080
1.310039,2.092446
1.320987,2.105473
1.330228,2.118151
1.339885,2.110972
1.350171,2.103936
1.360072,2.115846
1.369902,2.128195
1.379980,2.140988
1.390176,2.152515
1.400280,2.144154
1.410374,2.136107
1.420550,2.147848
1.429926,2.159241
1.439917,2.170222
1.450288,2.180830
1.460767,2.171642
1.469966,2.162758
1.479867,2.173645
1.490370,2.184155
1.499888,2.194346
1.510204,2.204221
1.520063,2.194302
1.529950,2.184731
1.539860,2.194914
1.550243,2.204808
1.560120,2.194889
1.569704,2.185291
1.580147,2.195464
1.590039,2.205271
1.600205,2.195331
1.610038,2.185732
1.620645,2.195894
1.629948,2.186243
1.639950,2.176931
1.649770,2.187359
1.660520,2.197425
1.669770,2.187731
1.680482,2.178359
1.690459,2.188756
1.700121,2.179326
1.710220,2.170081
1.720726,2.180758
1.730297,2.171801
1.740196,2.162803
1.749718,2.173528
1.760000,2.164595
1.770133,2.155926
1.779956,2.167039
1.789815,2.158303
1.800591,2.149812
1.810234,2.161109
1.820573,2.152555
1.830365,2.144262
1.840268,2.155746
1.850075,2.166871
1.860012,2.158170
1.870077,2.149673
1.880201,2.160938
1.890267,2.152383
1.900341,2.144078
1.910101,2.155572
1.920272,2.166694
1.929786,2.157932
1.939850,2.149478
1.949952,2.160758
1.960251,2.171685
1.970123,2.162825
1.980593,2.154206
1.990279,2.165283
2.000510,2.176065
2.010219,2.167067
2.020315,2.158359
2.030272,2.169403
2.039855,2.180010
2.050403,2.170791
2.060410,2.161932
2.070494,2.172906
2.080213,2.183499
2.090472,2.174275
2.100119,2.165306
2.110179,2.176058
2.120391,2.186475
2.129773,2.177078
2.140207,2.168022
2.150163,2.178717
2.160366,2.189077
2.170260,2.179661
2.180128,2.170518
2.190420,2.181150
2.200336,2.171979
2.210052,2.163129
2.220252,2.173983
2.230575,2.184445
2.240300,2.175162
2.250437,2.166173
2.260385,2.176959
2.270353,2.167929
2.280249,2.159172
2.290249,2.170135
2.300220,2.180749
2.309899,2.171577
2.320226,2.162724
2.329996,2.173582
2.339901,2.184066
2.349781,2.174809
2.360188,2.165832
2.370034,2.176732
2.379990,2.167750
2.390157,2.158911
2.400020,2.170023
2.410534,2.161237
2.419857,2.152646
2.430448,2.163858
2.439871,2.174607
2.450230,2.165601
2.459810,2.156876
2.470362,2.167891
2.480319,2.178614
2.491219,2.169499
2.500090,2.160691
2.509756,2.171654
2.520437,2.162787
2.530214,2.154130
2.540094,2.165224
2.549721,2.176056
2.560030,2.167040
2.570132,2.158280
2.580380,2.169347
2.590207,2.180008
2.600106,2.170835
2.610457,2.161939
2.619812,2.172809
2.630013,2.163931
2.640137,2.155257
2.649976,2.166330
2.660250,2.177110
2.670487,2.168110
2.679893,2.159279
2.690268,2.170108
2.700144,2.180741
2.710116,2.171614
2.720201,2.162717
2.729999,2.173622
2.739959,2.164703
2.749798,2.155993
2.760514,2.167083
2.770150,2.177823
2.780053,2.168728
2.790131,2.159935
2.800102,2.170601
2.810007,2.161655
2.819941,2.153152
2.829919,2.164239
2.840018,2.175066
2.849892,2.166066
2.859910,2.157351
2.870203,2.168274
2.880142,2.178938
2.889791,2.169881
2.900579,2.161075
2.910060,2.172007
2.919815,2.163102
2.930148,2.154506
2.940857,2.165629
2.950160,2.176420
2.960124,2.167399
2.970342,2.158589
2.979852,2.169597
2.990197,2.160805
3.000383,2.152236
3.010124,2.163477
3.020507,2.174366
3.030127,2.165374
3.040107,2.156625
3.049754,2.167699
3.060072,2.158996
3.070571,2.150423
3.079985,2.161661
3.090027,2.172624
3.100880,2.163697
3.109987,2.154998
3.120327,2.166138
3.130604,2.157498
3.140099,2.149042
3.149858,2.160304
3.160232,2.171226
3.170063,2.162362
3.180019,2.153764
3.189802,2.164935
3.200009,2.175724
3.210091,2.166691
3.220292,2.157976
3.230444,2.168947
3.240667,2.160114
3.249913,2.151618
3.260273,2.162809
3.270399,2.173671
3.280593,2.164745
3.289829,2.156036
3.300029,2.167264
3.310012,2.158624
3.320438,2.150011
3.330623,2.161259
3.340231,2.172219
3.350326,2.163309
3.360489,2.154572
3.370262,2.165767
3.380182,2.176664
3.390210,2.167617
3.400409,2.158744
3.410243,2.169580
3.420325,2.160696
3.430061,2.152252
3.440128,2.163641
3.450525,2.174476
3.459926,2.165484
3.470234,2.156759
3.480292,2.167796
3.490081,2.178525
3.500270,2.169426
3.510223,2.160585
3.520393,2.171519
3.529969,2.162681
3.540684,2.154056
3.550029,2.165138
3.560225,2.156432
3.570132,2.148127
3.579781,2.159482
3.590370,2.170344
3.600353,2.161459
3.609759,2.152884
3.620529,2.164092
3.630033,2.174920
3.639807,2.165902
3.650137,2.157216
3.660208,2.168277
3.670407,2.159488
3.680297,2.150924
3.690381,2.162124
3.700217,2.173060
3.709863,2.164251
3.720053,2.155495
3.730088,2.166361
3.740004,2.177100
3.749884,2.168073
3.760046,2.159301
3.769907,2.170402
3.780091,2.181039
3.790814,2.171746
3.800248,2.162851
3.809989,2.173724
3.820323,2.164779
3.830306,2.156057
3.840050,2.167166
3.850047,2.177952
3.859905,2.168840
3.870696,2.160044
3.880313,2.170999
3.890088,2.162113
3.900020,2.153490
3.910212,2.164684
3.920383,2.156074
3.930247,2.147562
3.940327,2.158900
3.950223,2.169962
3.960255,2.161109
3.970134,2.152553
3.980181,2.163713
3.990247,2.155059
4.000086,2.146682
4.009870,2.158083
4.020545,2.169141
4.030375,2.160322
4.040261,2.151752
4.049902,2.162972
4.060312,2.154377
4.070485,2.145943
4.080614,2.157329
4.090365,2.168416
4.100900,2.159622
4.110066,2.151168
4.120524,2.162420
4.130693,2.153791
4.140737,2.145356
4.150424,2.156723
4.161083,2.167880
4.170426,2.159166
4.180036,2.150691
4.190183,2.161905
4.200585,2.153272
4.210243,2.144982
4.220162,2.156275
4.230220,2.167258
4.239668,2.158625
4.250358,2.150141
4.260389,2.161327
4.270095,2.172238
4.280315,2.163358
4.289726,2.154678
4.300205,2.165790
4.309982,2.157141
4.320328,2.148713
4.330498,2.160001
4.339931,2.151458
4.349991,2.143209
4.359916,2.154697
4.370184,2.165804
4.379886,2.157093
4.389681,2.148661
4.400172,2.159946
4.410302,2.170867
4.420667,2.161968
4.430222,2.153426
4.439970,2.164646
4.449962,2.155980
4.460417,2.147581
4.469800,2.158897
4.480343,2.169888
4.490222,2.161064
4.500468,2.152507
4.510001,2.163684
4.520013,2.155028
4.530233,2.146657
4.540608,2.158027
4.549992,2.169008
4.560536,2.160182
4.569970,2.151685
4.580367,2.162858
4.590021,2.173714
4.600137,2.164778
4.610139,2.156092
4.619892,2.167220
4.630182,2.158509
4.640566,2.150008
4.650018,2.161259
4.660236,2.172188
4.669884,2.163295
4.679955,2.154679
4.689629,2.165830
4.700424,2.157136
4.709757,2.148677
4.719859,2.159959
4.730266,2.170918
4.740038,2.162066
4.750124,2.153482
4.760136,2.164610
4.770253,2.155922
4.779788,2.147537
4.790179,2.158838
4.800031,2.150303
4.810356,2.142102
4.819942,2.153739
4.830252,2.165035
4.840245,2.156333
4.849771,2.147841
4.860369,2.159082
4.870159,2.170039
4.880442,2.161275
4.889692,2.152707
4.899781,2.163943
4.910439,2.155339
4.920725,2.146927
4.930679,2.158293
4.940086,2.169284
4.950108,2.160454
4.960274,2.151877
4.970103,2.163081
4.980128,2.154484
4.990088,2.146105
5.000077,2.157496
5.009835,2.168531
5.020280,2.159755
5.030183,2.151241
5.039969,2.162565
5.050475,2.154030
5.061018,2.145620
5.070548,2.156931
5.080235,2.167922
5.090109,2.159211
5.099994,2.150774
5.109962,2.161986
5.120005,2.153378
5.129929,2.145056
5.140473,2.156431
5.160331,2.167533
5.169899,2.178297
5.179800,2.188648
5.190021,2.179227
5.200139,2.170111
5.209788,2.180710
5.220252,2.171511
5.229805,2.162612
5.240627,2.173457
5.250299,2.183887
5.260288,2.173727
5.270851,2.165847
5.280002,2.178487
5.289889,2.169394
5.299828,2.160449
5.310146,2.171360
5.321030,2.162606
5.330474,2.153979
5.339736,2.165093
5.350388,2.156409
5.360547,2.147990
5.369853,2.159340
5.380004,2.150843
5.390495,2.142622
5.400022,2.154154
5.410161,2.145818
5.420505,2.137673
5.430307,2.149284
5.439791,2.141134
5.450182,2.133191
5.460078,2.144904
5.470144,2.156302
5.480338,2.147918
5.490303,2.139786
5.500269,2.151357
5.510154,2.143088
5.520019,2.135111
5.530237,2.146843
5.540160,2.158156
5.550192,2.149665
5.560498,2.141455
5.570316,2.152978
5.580369,2.164147
5.590252,2.155466
5.600121,2.147083
5.610263,2.158419
5.620285,2.169450
5.630534,2.160661
5.640080,2.152105
5.650191,2.163294
5.659884,2.174136
5.670482,2.165193
5.679955,2.156519
5.690031,2.167554
5.699764,2.158777
5.710117,2.150281
5.719958,2.161663
5.729925,2.172581
5.740352,2.163521
5.750531,2.154877
5.760530,2.166035
5.769955,2.157361
5.780063,2.148919
5.790296,2.160146
5.800470,2.171047
5.810103,2.162206
5.820479,2.153627
5.829845,2.164769
5.839763,2.156094
5.850323,2.147686
5.860271,2.158992
5.870175,2.169945
5.879777,2.161117
5.890164,2.152576
5.899929,2.163756
5.909765,2.155115
5.919812,2.146749
5.930596,2.158099
5.939929,2.169051
5.949878,2.160230
5.960423,2.151704
5.969895,2.162932
5.980146,2.173778
5.990072,2.164796
5.999996,2.156142
6.009824,2.167214
6.020114,2.158459
6.030282,2.149950
6.040607,2.161196
6.050214,2.152652
6.060376,2.144376
6.070254,2.155838
6.080565,2.166892
6.090013,2.158159
6.100155,2.149660
6.109998,2.160885
6.119887,2.171859
6.130461,2.162941
6.140382,2.154333
6.150371,2.165476
6.160129,2.156760
6.170411,2.148262
6.179998,2.159571
6.189948,2.170638
6.200101,2.161748
6.210312,2.153191
6.220278,2.164448
6.230322,2.155799
6.239970,2.147411
6.250004,2.158764
6.259800,2.169717
6.270082,2.160872
6.280029,2.152301
6.289627,2.163463
6.299905,2.174303
6.310001,2.165321
6.320319,2.156776
6.330475,2.167806
6.339827,2.158859
6.350184,2.150382
6.359954,2.161679
6.369777,2.172597
6.380324,2.163662
6.390078,2.155009
6.399858,2.166176
6.410396,2.157503
6.420335,2.149046
6.430115,2.160362
6.439942,2.171293
6.450342,2.162381
6.460102,2.153822
6.469852,2.165008
6.480201,2.156307
6.490072,2.147884
6.500215,2.159247
6.510147,2.170252
6.520439,2.161392
6.530077,2.152837
6.539913,2.164020
6.550516,2.155342
6.560029,2.146977
6.569934,2.158342
6.580397,2.169363
6.600278,2.180098
6.610668,2.190388
6.620016,2.200362
6.630148,2.190659
6.639956,2.181155
6.650486,2.191367
6.659856,2.181868
6.670262,2.172607
6.679981,2.183137
6.690408,2.173921
6.699938,2.165108
6.709720,2.175895
6.720018,2.166725
6.730355,2.157990
6.740219,2.168981
6.749942,2.160207
6.760292,2.151659
6.770110,2.162857
6.780020,2.154253
6.789793,2.145909
6.800542,2.157325
6.810173,2.148749
6.820062,2.140396
6.830223,2.151954
6.840070,2.143780
6.849894,2.135960
6.860259,2.147791
6.870475,2.159105
6.880074,2.150587
6.889790,2.142364
6.900102,2.153910
6.909948,2.145593
6.920126,2.137522
6.930027,2.149166
6.939855,2.160434
6.949975,2.151892
6.960152,2.143607
6.969993,2.155069
6.980273,2.166146
6.990354,2.157410
7.000037,2.148965
7.010255,2.160386
7.020045,2.171340
7.030538,2.162314
7.040041,2.153744
7.050113,2.164941
7.059902,2.156279
7.069978,2.147886
7.080452,2.159201
7.090235,2.170125
7.100364,2.161264
7.110057,2.152731
7.120204,2.163903
7.130036,2.174699
7.140305,2.165682
7.149853,2.156973
7.159866,2.168022
7.170325,2.178718
7.180080,2.169639
7.190062,2.160846
7.199766,2.171783
7.210403,2.162873
7.220445,2.154212
7.230318,2.165390
7.240385,2.176175
7.250234,2.167096
7.260510,2.158389
7.269947,2.169394
7.279852,2.160552
7.289995,2.152031
7.299953,2.163243
7.309777,2.174094
7.320182,2.165159
7.330426,2.156179
7.339940,2.167348
7.349993,2.159010
7.360216,2.150362
7.370120,2.161418
7.380100,2.152855
7.390333,2.144585
7.399916,2.155966
7.409715,2.167043
7.419997,2.158347
7.429762,2.149888
7.439799,2.161163
7.449935,2.152602
7.460181,2.144297
7.469781,2.155685
7.480002,2.166766
7.490000,2.158032
7.500096,2.149591
7.510453,2.160925
7.519891,2.171773
7.530103,2.162817
7.540055,2.154212
7.549969,2.165388
7.559861,2.156720
7.570223,2.148302
7.580245,2.159640
7.589949,2.170596
7.600020,2.161743
7.609687,2.153183
7.620234,2.164362
7.629798,2.175203
7.640130,2.166207
7.649788,2.157468
7.660275,2.168536
7.670415,2.159774
7.680088,2.151225
7.689841,2.162465
7.700142,2.173344
7.709942,2.164354
7.720261,2.155659
7.730718,2.166796
7.739772,2.158114
7.750162,2.149631
7.759875,2.160933
7.770183,2.171907
7.779963,2.163019
7.789776,2.154368
7.799956,2.165503
7.810201,2.176331
7.819902,2.167326
7.830143,2.158566
7.840013,2.169543
7.850233,2.160707
7.860630,2.152097
7.870327,2.163276
7.880529,2.174187
7.890047,2.165237
7.900133,2.156556
7.910145,2.167582
7.920228,2.158748
7.930199,2.150328
7.940006,2.161650
7.950089,2.172539
7.960233,2.163639
7.970417,2.154939
7.980372,2.166055
7.989949,2.157390
8.000093,2.148974
8.009908,2.160331
8.019754,2.171301
8.030223,2.162426
8.040184,2.153792
8.049919,2.164937
8.059998,2.156268
8.069868,2.147830
8.080021,2.159146
8.090143,2.170166
8.100488,2.161229
8.110116,2.152808
8.120282,2.164222
8.130102,2.155524
8.140557,2.147131
8.150139,2.158486
8.160192,2.169481
8.170195,2.160500
8.180061,2.152125
8.190195,2.163625
8.199906,2.154995
8.210041,2.146586
8.219967,2.157886
8.230093,2.168959
8.240132,2.160244
8.250115,2.151666
8.260057,2.162775
8.270181,2.173675
8.280093,2.164767
8.290054,2.156066
8.299800,2.167159
8.310489,2.158439
8.320103,2.149946
8.330303,2.161178
8.339983,2.152654
8.350399,2.144332
8.359775,2.155684
8.370195,2.166773
8.380341,2.158036
8.390164,2.149536
8.400116,2.160805
8.409985,2.171634
8.420233,2.162704
8.430166,2.154132
8.440084,2.165231
8.450078,2.176032
8.460256,2.167031
8.469787,2.158294
8.479842,2.169265
8.490194,2.160438
8.499839,2.151915
8.510011,2.163108
8.520385,2.173920
8.530388,2.164947
8.539986,2.156272
8.549901,2.167339
8.560233,2.158587
8.569906,2.150079
8.579693,2.161365
8.590250,2.172271
8.600227,2.163324
8.610367,2.154690
8.619647,2.165819
8.629678,2.176629
8.640039,2.167595
8.649751,2.158840
8.659688,2.169834
8.669921,2.161004
8.680128,2.152453
8.690049,2.163641
8.699965,2.174470
8.710065,2.165472
8.719840,2.156761
8.730229,2.167841
8.739943,2.159079
8.750584,2.150616
8.759878,2.161893
8.770286,2.172750
8.779837,2.163836
8.789910,2.155202
8.799831,2.166309
8.810387,2.177016
