System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.657,2.53,65.751,0.892,134.018,0.002
filtered_velocity_2,0.093,3.47,63.056,0.89,152.615,0.511
filtered_velocity_3,0.657,1.369,62.092,0.899,152.375,0.509
filtered_velocity_4,0.084,1.41,66.263,0.879,153.466,0.571
filtered_velocity_5,0.092,1.33,63.285,0.914,152.209,0.5
filtered_velocity_6,0.092,1.34,61.913,0.913,146.722,0.501
filtered_velocity_7,0.653,1.35,68.661,0.871,142.603,0.131
filtered_velocity_8,0.655,1.35,64.79,0.879,138.824,0.116
filtered_velocity_9,0.092,1.6,66.32,0.906,151.712,0.502
filtered_velocity_10,0.663,1.36,67.279,0.877,140.974,0.002
filtered_velocity_11,0.091,1.36,64.865,0.915,147.044,0.501
filtered_velocity_12,0.668,1.37,67.817,0.883,138.483,0.059
filtered_velocity_13,0.083,1.59,66.127,0.876,152.595,0.57
filtered_velocity_14,0.641,1.61,72.317,0.867,143.112,0.002
filtered_velocity_15,0.653,1.36,65.735,0.893,140.399,0.128
filtered_velocity_16,0.091,1.38,60.571,0.903,152.244,0.501
filtered_velocity_17,0.666,1.37,66.529,0.894,138.76,0.135
filtered_velocity_18,0.093,1.62,64.596,0.926,149.311,0.498
filtered_velocity_19,0.65,1.39,69.404,0.874,142.41,0.13
filtered_velocity_20,0.088,1.56,63.749,0.908,158.878,0.593
