Time,Output
0.000000,1.527494
0.009371,1.538712
0.019675,1.549559
0.029338,1.540474
0.039737,1.531668
0.049701,1.523116
0.059514,1.534325
0.069508,1.545160
0.079353,1.536193
0.090274,1.527507
0.099491,1.519175
0.111619,1.510885
0.119195,1.522643
0.129346,1.573270
0.139343,1.680195
0.148986,1.842550
0.159742,2.038258
0.169332,2.247331
0.179525,2.469674
0.189156,2.685436
0.199399,2.875443
0.209273,3.059048
0.219074,3.236525
0.229234,3.389309
0.239355,3.518124
0.249549,3.642758
0.259199,3.744210
0.269202,3.822954
0.279643,3.879673
0.289093,3.895573
0.299372,3.872254
0.309122,3.830188
0.319551,3.769894
0.329564,3.691945
0.339177,3.597010
0.349340,3.465995
0.359087,3.339041
0.369542,3.235530
0.379314,3.115788
0.389083,2.999757
0.399127,2.906765
0.409166,2.816655
0.419424,2.729339
0.429112,2.644729
0.439080,2.562743
0.449400,2.483298
0.459790,2.406316
0.469842,2.331720
0.479078,2.259436
0.488999,2.208960
0.499705,2.160048
0.509829,2.093086
0.519184,2.047669
0.529545,2.023333
0.539385,2.019144
0.549548,2.034445
0.559762,2.049293
0.569531,2.063685
0.579181,2.097072
0.589481,2.148966
0.599683,2.199122
0.609432,2.247828
0.619466,2.314461
0.629281,2.378927
0.639530,2.422071
0.649212,2.483477
0.659737,2.542856
0.669837,2.580852
0.679222,2.637260
0.689309,2.692041
0.699421,2.725388
0.709167,2.757546
0.719467,2.788968
0.729260,2.799892
0.739388,2.810360
0.749741,2.820535
0.759761,2.830398
0.769271,2.839935
0.779554,2.829894
0.789153,2.820061
0.799299,2.810552
0.809564,2.781864
0.819222,2.753933
0.829631,2.726896
0.839169,2.700789
0.849322,2.675466
0.859222,2.631470
0.869402,2.588857
0.879396,2.547555
0.889442,2.507491
0.899297,2.488242
0.909141,2.469574
0.919086,2.431907
0.929293,2.395508
0.939115,2.360281
0.949318,2.326015
0.959262,2.292843
0.969212,2.280293
0.979440,2.268203
0.989438,2.256206
0.999193,2.244600
1.009216,2.233413
1.019478,2.241849
1.029421,2.250213
1.039502,2.258361
1.049127,2.285852
1.059347,2.312379
1.069456,2.318566
1.079386,2.344071
1.089319,2.368731
1.099405,2.392730
1.109075,2.435561
1.119220,2.457476
1.129225,2.478630
1.139046,2.499176
1.149252,2.519145
1.159670,2.557927
1.169446,2.575975
1.179098,2.574032
1.189290,2.591953
1.199585,2.609158
1.209054,2.606040
1.219196,2.622567
1.229419,2.638570
1.239590,2.634721
1.249242,2.630958
1.259535,2.627332
1.269221,2.604297
1.279424,2.581914
1.289327,2.579731
1.299051,2.577631
1.309240,2.556146
1.319593,2.535276
1.329445,2.515041
