System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_1,0.657,2.53,65.751,0.892,134.018,0.002,"((-0.268036+134.01773196373196j), (-0.268036-134.01773196373196j))"
filtered_velocity_2,0.093,3.47,63.056,0.89,152.615,0.511,"((-77.986265+131.18491032260448j), (-77.986265-131.18491032260448j))"
filtered_velocity_3,0.657,1.369,62.092,0.899,152.375,0.509,"((-77.558875+131.1592983121455j), (-77.558875-131.1592983121455j))"
filtered_velocity_4,0.084,1.41,66.263,0.879,153.466,0.571,"((-87.629086+125.98792181318257j), (-87.629086-125.98792181318257j))"
filtered_velocity_5,0.092,1.33,63.285,0.914,152.209,0.5,"((-76.1045+131.81686068462562j), (-76.1045-131.81686068462562j))"
filtered_velocity_6,0.092,1.34,61.913,0.913,146.722,0.501,"((-73.507722+126.98015628581781j), (-73.507722-126.98015628581781j))"
filtered_velocity_7,0.653,1.35,68.661,0.871,142.603,0.131,"((-18.680993+141.37409985401834j), (-18.680993-141.37409985401834j))"
filtered_velocity_8,0.655,1.35,64.79,0.879,138.824,0.116,"((-16.103584+137.88682880665195j), (-16.103584-137.88682880665195j))"
filtered_velocity_9,0.092,1.6,66.32,0.906,151.712,0.502,"((-76.159424+131.21079635452344j), (-76.159424-131.21079635452344j))"
filtered_velocity_10,0.663,1.36,67.279,0.877,140.974,0.002,"((-0.281948+140.97371805171804j), (-0.281948-140.97371805171804j))"
filtered_velocity_11,0.091,1.36,64.865,0.915,147.044,0.501,"((-73.669044+127.25883031100854j), (-73.669044-127.25883031100854j))"
filtered_velocity_12,0.668,1.37,67.817,0.883,138.483,0.059,"((-8.170497+138.24176021656044j), (-8.170497-138.24176021656044j))"
filtered_velocity_13,0.083,1.59,66.127,0.876,152.595,0.57,"((-86.97914999999999+125.37887178578974j), (-86.97914999999999-125.37887178578974j))"
filtered_velocity_14,0.641,1.61,72.317,0.867,143.112,0.002,"((-0.286224+143.11171377571378j), (-0.286224-143.11171377571378j))"
filtered_velocity_15,0.653,1.36,65.735,0.893,140.399,0.128,"((-17.971072+139.24410139094158j), (-17.971072-139.24410139094158j))"
filtered_velocity_16,0.091,1.38,60.571,0.903,152.244,0.501,"((-76.274244+131.75915618365374j), (-76.274244-131.75915618365374j))"
filtered_velocity_17,0.666,1.37,66.529,0.894,138.76,0.135,"((-18.7326+137.48973524318097j), (-18.7326-137.48973524318097j))"
filtered_velocity_18,0.093,1.62,64.596,0.926,149.311,0.498,"((-74.35687800000001+129.47906940927987j), (-74.35687800000001-129.47906940927987j))"
filtered_velocity_19,0.65,1.39,69.404,0.874,142.41,0.13,"((-18.5133+141.20150786415135j), (-18.5133-141.20150786415135j))"
filtered_velocity_20,0.088,1.56,63.749,0.908,158.878,0.593,"((-94.21465399999998+127.92895628301j), (-94.21465399999998-127.92895628301j))"
filtered_velocity_1,0.617,1.98,92.964,0.903,99.718,0.6,"((-59.830799999999996+79.77440000000001j), (-59.830799999999996-79.77440000000001j))"
filtered_velocity_2,0.616,3.389,96.46,0.89,104.327,0.58,"((-60.50966+84.98649290142758j), (-60.50966-84.98649290142758j))"
filtered_velocity_3,1.137,1.78,91.612,0.891,86.119,0.052,"((-4.478187999999999+86.00248829677346j), (-4.478187999999999-86.00248829677346j))"
filtered_velocity_4,0.062,1.8,91.717,0.923,96.66,0.54,"((-52.196400000000004+81.35534049489313j), (-52.196400000000004-81.35534049489313j))"
filtered_velocity_5,0.062,1.98,91.972,0.921,92.138,0.54,"((-49.75452000000001+77.54933129028j), (-49.75452000000001-77.54933129028j))"
filtered_velocity_6,0.065,1.79,89.388,0.932,94.601,0.561,"((-53.071161000000004+78.312202568387j), (-53.071161000000004-78.312202568387j))"
filtered_velocity_7,0.607,1.76,94.486,0.911,96.872,0.577,"((-55.895143999999995+79.11963890981343j), (-55.895143999999995-79.11963890981343j))"
filtered_velocity_8,0.608,1.51,94.72,0.889,92.499,0.071,"((-6.567428999999999+92.2655617082016j), (-6.567428999999999-92.2655617082016j))"
filtered_velocity_9,0.059,1.99,98.553,0.883,84.937,0.053,"((-4.5016609999999995+84.81762209140905j), (-4.5016609999999995-84.81762209140905j))"
filtered_velocity_10,0.614,1.94,94.973,0.898,103.862,0.624,"((-64.809888+81.16029485793811j), (-64.809888-81.16029485793811j))"
filtered_velocity_11,0.064,1.96,93.603,0.909,78.306,0.064,"((-5.011584+78.14546475523032j), (-5.011584-78.14546475523032j))"
filtered_velocity_12,0.612,1.76,95.229,0.9,106.263,0.624,"((-66.30811200000001+83.03649469959252j), (-66.30811200000001-83.03649469959252j))"
filtered_velocity_13,0.603,1.75,94.603,0.907,99.907,0.578,"((-57.74624599999999+81.52778496873005j), (-57.74624599999999-81.52778496873005j))"
filtered_velocity_14,0.058,1.77,96.41,0.892,86.488,0.064,"((-5.535232+86.31069082510102j), (-5.535232-86.31069082510102j))"
filtered_velocity_15,0.061,1.77,94.093,0.919,94.527,0.54,"((-51.04458+79.56006901469857j), (-51.04458-79.56006901469857j))"
filtered_velocity_16,0.604,1.72,94.697,0.894,92.505,0.0,"((-0+92.505j), (-0-92.505j))"
filtered_velocity_17,0.605,1.74,94.835,0.899,113.771,0.656,"((-74.633776+85.86990113527455j), (-74.633776-85.86990113527455j))"
filtered_velocity_18,0.607,1.79,94.586,0.907,100.262,0.603,"((-60.457986+79.98312680074343j), (-60.457986-79.98312680074343j))"
filtered_velocity_19,0.598,1.77,93.382,0.892,85.018,0.069,"((-5.866242000000001+84.81537318668965j), (-5.866242000000001-84.81537318668965j))"
filtered_velocity_20,0.609,1.771,94.135,0.918,94.671,0.568,"((-53.773128+77.91693619551282j), (-53.773128-77.91693619551282j))"
filtered_velocity_1,1.028,2.1,127.717,0.924,51.567,0.014,"((-0.721938+51.561946186350994j), (-0.721938-51.561946186350994j))"
filtered_velocity_2,1.034,1.889,123.743,0.919,51.842,0.025,"((-1.2960500000000001+51.82579684286099j), (-1.2960500000000001-51.82579684286099j))"
filtered_velocity_3,1.032,2.07,127.661,0.919,53.449,0.102,"((-5.451797999999999+53.170231328885485j), (-5.451797999999999-53.170231328885485j))"
filtered_velocity_4,1.033,2.371,129.168,0.91,73.947,0.635,"((-46.956345+57.124954907999495j), (-46.956345-57.124954907999495j))"
filtered_velocity_5,1.028,1.9,128.839,0.909,69.691,0.635,"((-44.253785+53.83714325791976j), (-44.253785-53.83714325791976j))"
filtered_velocity_6,1.02,1.82,124.382,0.917,54.927,0.015,"((-0.823905+54.920820364875965j), (-0.823905-54.920820364875965j))"
filtered_velocity_7,1.029,1.86,129.034,0.913,53.41,0.095,"((-5.07395+53.16844112250706j), (-5.07395-53.16844112250706j))"
filtered_velocity_8,1.003,1.849,125.695,0.923,56.103,0.009,"((-0.504927+56.100727782486665j), (-0.504927-56.100727782486665j))"
filtered_velocity_9,1.015,1.87,123.342,0.918,55.774,0.0,"((-0+55.774j), (-0-55.774j))"
filtered_velocity_10,1.024,1.85,139.545,0.907,57.129,0.021,"((-1.1997090000000001+57.11640166638055j), (-1.1997090000000001-57.11640166638055j))"
filtered_velocity_11,1.039,2.13,128.376,0.923,53.674,0.001,"((-0.053674+53.67397316299329j), (-0.053674-53.67397316299329j))"
filtered_velocity_12,0.047,2.13,129.594,0.909,65.189,0.692,"((-45.11078799999999+47.059776104642225j), (-45.11078799999999-47.059776104642225j))"
filtered_velocity_13,0.046,1.86,132.832,0.909,67.747,0.68,"((-46.06796000000001+49.67292089698772j), (-46.06796000000001-49.67292089698772j))"
filtered_velocity_14,1.037,1.85,128.068,0.919,52.233,0.009,"((-0.47009699999999993+52.23088452066067j), (-0.47009699999999993-52.23088452066067j))"
filtered_velocity_15,1.033,1.9,129.235,0.912,55.352,0.016,"((-0.885632+55.34491449049836j), (-0.885632-55.34491449049836j))"
filtered_velocity_16,1.029,1.81,125.523,0.928,53.187,0.027,"((-1.436049+53.1676098039925j), (-1.436049-53.1676098039925j))"
filtered_velocity_17,1.049,2.11,115.576,0.923,51.948,0.008,"((-0.415584+51.946337637401776j), (-0.415584-51.946337637401776j))"
filtered_velocity_18,1.033,1.91,127.979,0.916,55.031,0.096,"((-5.282976+54.776830189263634j), (-5.282976-54.776830189263634j))"
filtered_velocity_19,1.033,1.85,127.096,0.924,52.659,0.034,"((-1.7904060000000002+52.6285542966474j), (-1.7904060000000002-52.6285542966474j))"
filtered_velocity_1,0.051,2.53,150.18,0.928,50.804,0.694,"((-35.257976+36.577609877948895j), (-35.257976-36.577609877948895j))"
filtered_velocity_2,0.935,1.93,158.53,0.941,39.285,0.025,"((-0.9821249999999999+39.27272151868743j), (-0.9821249999999999-39.27272151868743j))"
filtered_velocity_3,0.04,1.8,154.289,0.923,39.244,0.097,"((-3.806668+39.05894026644574j), (-3.806668-39.05894026644574j))"
filtered_velocity_4,0.953,2.219,155.022,0.929,38.158,0.035,"((-1.33553+38.13462106300651j), (-1.33553-38.13462106300651j))"
filtered_velocity_5,0.957,1.93,154.087,0.937,36.976,0.029,"((-1.072304+36.96044832157186j), (-1.072304-36.96044832157186j))"
filtered_velocity_6,0.962,2.21,155.21,0.926,40.689,0.046,"((-1.871694+40.64592824097346j), (-1.871694-40.64592824097346j))"
filtered_velocity_7,0.957,2.001,150.367,0.939,37.161,0.026,"((-0.966186+37.14843745857158j), (-0.966186-37.14843745857158j))"
filtered_velocity_8,0.039,2.021,155.629,0.909,36.003,0.091,"((-3.2762729999999998+35.85361968099554j), (-3.2762729999999998-35.85361968099554j))"
filtered_velocity_9,0.038,1.9,160.626,0.913,33.576,0.09,"((-3.02184+33.43974071392301j), (-3.02184-33.43974071392301j))"
filtered_velocity_10,0.969,1.949,153.361,0.94,34.167,0.029,"((-0.9908430000000001+34.15262975452038j), (-0.9908430000000001-34.15262975452038j))"
filtered_velocity_11,0.039,2.0,154.956,0.92,30.852,0.09,"((-2.77668+30.726795345066495j), (-2.77668-30.726795345066495j))"
filtered_velocity_12,0.968,1.99,154.974,0.929,35.153,0.054,"((-1.898262+35.1017095079336j), (-1.898262-35.1017095079336j))"
filtered_velocity_13,0.04,2.239,156.51,0.916,60.248,0.71,"((-42.77607999999999+42.42674255506307j), (-42.77607999999999-42.42674255506307j))"
filtered_velocity_14,0.962,2.0,157.544,0.935,32.577,0.035,"((-1.140195+32.55704047302173j), (-1.140195-32.55704047302173j))"
filtered_velocity_15,0.038,1.98,158.722,0.919,44.664,0.703,"((-31.398792+31.764583374266632j), (-31.398792-31.764583374266632j))"
filtered_velocity_16,0.039,1.96,157.601,0.912,34.667,0.1,"((-3.4667000000000003+34.493229482175195j), (-3.4667000000000003-34.493229482175195j))"
filtered_velocity_17,0.038,2.47,164.751,0.911,32.364,0.095,"((-3.0745799999999996+32.217626446149005j), (-3.0745799999999996-32.217626446149005j))"
filtered_velocity_18,0.04,3.63,160.369,0.922,45.814,0.652,"((-29.870728+34.73704369617564j), (-29.870728-34.73704369617564j))"
filtered_velocity_19,0.963,2.21,154.195,0.931,39.437,0.056,"((-2.208472+39.3751142274561j), (-2.208472-39.3751142274561j))"
filtered_velocity_20,0.038,2.21,160.091,0.901,31.809,0.091,"((-2.894619+31.677021038046476j), (-2.894619-31.677021038046476j))"
filtered_velocity_1,0.034,2.45,176.152,0.913,28.072,0.041,"((-1.150952+28.048395560061827j), (-1.150952-28.048395560061827j))"
filtered_velocity_2,0.034,2.639,175.421,0.931,33.664,0.019,"((-0.639616+33.65792309951023j), (-0.639616-33.65792309951023j))"
